rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k4261,k8523
21,roi.,,,,,,,,,,,,,,,,,,,fournira,point,,cette,,consacré,_appendice_,,ici,,l'espérons,,_appendice_,spécial,fils,différents,d'ailleurs,ceci,spécial,,n'est,spécial,lecteur,borner,s'appela,encore,générale,borner,,d'ailleurs,lecteur,consacré,stratford-sur-avon,1584,1584,fils,troupe,1584,1584,tout,1584,1584,tout,tout,voir,date,tout,hamnet,nom,date,troupe,nom,nom,hamnet,date,nom,qu'on,qu'on,1584,1584,troupe,d'une,d'une,date,d'une,saint-paul,saint-paul,roi,d'une,phrase,date,date,date,date,date,déjà,roi.,déjà,monsieur,enfants,horatio.,horatio.,premier,aussi
22,non,,,,,,,,,,,,,,,,,,,l'espérons,débat,,étude,,comparaison,consacré,,,,quelques,,consacré,auquel,très-évidemment,textes,lecteur,n'est,auquel,,qu'il,auquel,trouvera,ici,qu'après,conclure,fournira,ici,,lecteur,trouvera,comparaison,volume,ainsi,ainsi,l'enfant,qu'on,ainsi,ainsi,fils,ainsi,ainsi,l'enfant,l'enfant,tout,1584,nom,sadler,d'une,1584,qu'on,d'une,d'une,tout,1584,d'une,c'est,c'est,hamnet,hamnet,qu'on,troupe,troupe,1584,troupe,d'une,d'une,nouveauté,phrase,date,nouveauté,nouveauté,monsieur,d'une,monsieur,date,déjà,monsieur,horatio.,horatio.,enfants,enfants,aussi,non
23,sans,,,,,,,,,,,,,,,,,,,quelques,spécial,,plus,,différents,comparaison,,,,raisons,,comparaison,borner,contraire,cette,trouvera,qu'il,borner,,servi,borner,fin,,l'enfant,comme,l'espérons,,,trouvera,fin,différents,_appendice_,sadler,sadler,stratford-sur-avon,second,sadler,sien,l'enfant,sadler,sadler,stratford-sur-avon,nom,l'enfant,sadler,bien,tout,dix,sadler,c'est,troupe,troupe,nom,hamnet,troupe,1584,1584,nom,nom,c'est,qu'on,1584,hamnet,phrase,troupe,phrase,saint-paul,date,nouveauté,saint-paul,saint-paul,nouveauté,phrase,roi.,monsieur,date,horatio.,déjà,déjà,déjà,déjà,non,car
24,car,,,,,,,,,,,,,,,,,,,raisons,auquel,,générale,,textes,différents,,,,encore,,différents,ici,prince,étude,fin,servi,ici,,patron,ici,volume,,obscur,point,quelques,,,fin,volume,textes,consacré,chose,voir,textes,avant,légende,mme,stratford-sur-avon,voir,voir,nom,fait,nom,voir,d'une,l'enfant,troupe,voir,second,qu'on,qu'on,d'une,sadler,qu'on,hamnet,hamnet,osrick.,osrick.,1584,c'est,hamnet,nom,1584,phrase,1584,d'une,nouveauté,saint-paul,d'une,d'une,saint-paul,monsieur,horatio.,horatio.,horatio.,date,date,date,date,date,car,sans
25,d'une,,,,,,,,,,,,,,,,,,,encore,borner,,fournira,,cette,textes,,,,conclure,,textes,,danemark,générale,volume,patron,,,fils,,_appendice_,,stratford-sur-avon,débat,raisons,,,volume,_appendice_,cette,comparaison,voir,fils,cette,1584,danoise,judith,cette,fils,fils,débat,leurs,d'une,tout,dix,nom,qu'on,tout,date,c'est,c'est,non,l'enfant,c'est,sadler,sadler,non,non,hamnet,hamnet,fils,paysan.,hamnet,1584,hamnet,phrase,saint-paul,d'une,troupe,troupe,d'une,roi.,nouveauté,saint-paul,saint-paul,nouveauté,saint-paul,saint-paul,d'une,laertes.,sans,premier
26,encore,,,,,,,,,,,,,,,,,,,conclure,ici,,l'espérons,,étude,cette,,,,comme,,cette,,naquit,fournira,_appendice_,fils,,,très-évidemment,,consacré,,emprunta,spécial,encore,,,_appendice_,consacré,étude,différents,ceci,très-évidemment,étude,ainsi,histoires,sadler,étude,l'enfant,l'enfant,spécial,d'une,dix,fils,qu'on,leurs,second,l'enfant,1584,second,second,qu'on,nom,second,voir,voir,qu'on,qu'on,sadler,sadler,nom,troupe,nom,hamnet,nom,1584,troupe,troupe,phrase,phrase,troupe,horatio.,saint-paul,d'une,d'une,saint-paul,d'une,d'une,laertes.,d'une,d'une,d'une
27,mort,,,,,,,,,,,,,,,,,,,comme,,,quelques,,plus,étude,,,,point,,étude,,scène,l'espérons,consacré,très-évidemment,,,contraire,,comparaison,,l'orthographe,auquel,conclure,,,consacré,comparaison,générale,textes,n'est,contraire,générale,trace,belleforest,marraine,générale,stratford-sur-avon,stratford-sur-avon,auquel,dix,non,l'enfant,second,d'une,date,stratford-sur-avon,ainsi,ainsi,ainsi,second,leurs,ainsi,fils,fils,c'est,c'est,voir,voir,paysan.,qu'on,...,nom,cela,troupe,1584,1584,1584,1584,phrase,nouveauté,d'une,troupe,troupe,d'une,troupe,troupe,nouveauté,nouveauté,encore,encore
28,point,,,,,,,,,,,,,,,,,,,point,,,raisons,,générale,plus,,,,débat,,générale,,s'appela,quelques,comparaison,contraire,,,prince,,différents,,anglaise,borner,comme,,,comparaison,différents,fournira,cette,qu'il,prince,fournira,d'intentions,quelque,amleth,fournira,anglaise,fin,borner,non,qu'on,stratford-sur-avon,avant,dix,ainsi,nom,sadler,sadler,sadler,ainsi,dix,sadler,l'enfant,l'enfant,second,second,fils,fils,théâtre,sadler,qu'on,théâtre,roi,qu'on,hamnet,hamnet,hamnet,hamnet,1584,saint-paul,troupe,phrase,phrase,troupe,phrase,phrase,saint-paul,saint-paul,mort,mort
29,quelque,,,,,,,,,,,,,,,,,,,débat,,,encore,,fournira,générale,,,,spécial,,fournira,,qu'après,raisons,différents,prince,,,danemark,,textes,,sous,ici,point,,,différents,textes,l'espérons,étude,servi,danemark,l'espérons,sombres,chose,héros,l'espérons,sous,volume,ici,qu'on,second,ici,date,non,sadler,leurs,voir,voir,voir,sadler,non,voir,nom,stratford-sur-avon,ainsi,ainsi,l'enfant,l'enfant,drame,voir,second,qu'on,troupe,hamnet,fils,nom,nom,nom,hamnet,troupe,phrase,théâtre,théâtre,phrase,laertes.,laertes.,troupe,troupe,point,point
30,tous,,,,,,,,,,,,,,,,,,,spécial,,,conclure,,l'espérons,fournira,,,,auquel,,l'espérons,,l'enfant,encore,textes,danemark,,,naquit,,cette,,lequel,,débat,,,textes,cette,quelques,générale,patron,naquit,quelques,préoccupations,voir,légende,quelques,lequel,_appendice_,,second,avant,,ainsi,qu'on,belleforest,d'une,fils,fils,fils,voir,qu'on,fils,osrick.,nom,sadler,sadler,nom,stratford-sur-avon,leurs,fils,ainsi,second,qu'on,sadler,nom,monsieur,monsieur,monsieur,nom,1584,1584,nouveauté,nouveauté,1584,théâtre,théâtre,phrase,phrase,quelque,quelque
