rank,exact,k6,k8,k10,k14,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2877,k5755
21,liebe,,,,,,,,,,,,,musik,,marschieren,,hauptmännern,anlaß,marschieren,,musik,,ziehen,könnten,,,,munde,izt,,stimme,reden,bestürzt,neuen,umarme,hören,allemdiesem,hört,umständliche,,gerüste,giebt,veranlaßt,,hast,traurigem,anblik,,geben,herzen,vergiftet,hast,gerüste,hast,gerüste,geben,trank,gemacht,blutigen,vergiftet,gemacht,blutigen,befehl,vergiftet,stirbt,vergiftet,andre,befehl,andre,befehl,gemacht,befehl,befehl,befehl,stirbt,mehr,mehr,befehl,verrätherey,verrätherey,verrätherey,verrätherey,sollten,england,vergiftet,england,vergiftet,sollten,vergiftet,vergiftet,england,england,england,england,sollten,geht,scene,scene
22,todtengräber,,,,,,,,,,,,,vier,,stük,,gerüste,geben,stük,,vier,,lasset,giebt,,,,stimme,gemüther,,andre,munde,unfähig,verwirrungen,glük,sollen,kan,abermaligen,echte,,getragen,befehl,hievon,,anblik,herzen,kommt,,könnten,recht,verrätherey,anblik,nein,anblik,nein,befehl,stirbt,geben,hören,verrätherey,geben,hören,nein,verrätherey,hast,verrätherey,anstalten,vergiftet,anstalten,vergiftet,geben,vergiftet,vergiftet,vergiftet,hast,stirbt,stirbt,ophelia,mehr,mehr,mehr,mehr,england,geben,verrätherey,geben,verrätherey,england,verrätherey,verrätherey,geben,geben,geben,geben,england,vergiftet,liebe,liebe
23,mehr,,,,,,,,,,,,,hauptmännern,,hört,,getragen,könnten,hört,,hauptmännern,,anstalten,befehl,,,,andre,bestürzt,,ziehen,stimme,entwürfe,anlaß,traurigem,adel,umständliche,salve,nachricht,,marschieren,hamlets,reden,,kommt,recht,leichen,,giebt,königreich,mehr,kommt,vergiftet,kommt,vergiftet,gnädiger,hast,befehl,reden,mehr,befehl,reden,vergiftet,seyn,sollten,seyn,gemacht,verrätherey,gemacht,verrätherey,befehl,verrätherey,verrätherey,verrätherey,sollten,hast,hast,vergiftet,stirbt,bey,bey,stirbt,geben,befehl,mehr,befehl,mehr,geben,mehr,mehr,befehl,befehl,befehl,befehl,geben,verrätherey,mehr,mehr
24,geist,,,,,,,,,,,,,gerüste,,abermaligen,,marschieren,giebt,abermaligen,,gerüste,,unverzüglich,hamlets,,,,ziehen,unfähig,,lasset,andre,neuen,geben,herzen,zusammen,echte,kleinen,verlangt,,stük,leiche,munde,,leichen,königreich,grausamen,,befehl,zufälle,bey,leichen,verrätherey,leichen,verrätherey,nein,blutigen,gerüste,munde,stirbt,nein,munde,verrätherey,mehr,blutigen,mehr,geben,mehr,geben,mehr,vergiftet,mehr,mehr,mehr,hören,sollten,sollten,verrätherey,hast,stirbt,stirbt,hast,befehl,vergiftet,bey,laßt,laß,befehl,laß,bey,laßt,laßt,geht,thun,befehl,mehr,himmel,himmel
25,himmel,,,,,,,,,,,,,getragen,,salve,,stük,befehl,salve,,getragen,,gemacht,leiche,,,,lasset,entwürfe,,anstalten,ziehen,verwirrungen,könnten,recht,beruffen,nachricht,geschüz,hören,,hört,kriegerischer,stimme,,geheimniß,zufälle,blutigen,,hamlets,geltend,stirbt,blutigen,mehr,blutigen,mehr,vergiftet,hören,nein,andre,hast,vergiftet,andre,mehr,stirbt,hören,stirbt,befehl,laß,befehl,bey,verrätherey,stirbt,laß,laß,andre,blutigen,hören,mehr,sollten,hast,hast,sollten,laßt,verrätherey,stirbt,vergiftet,bey,laßt,bey,stirbt,vergiftet,vergiftet,laßt,geht,thun,bey,geist,geist
26,seyd,,,,,,,,,,,,,marschieren,,kleinen,,hört,hamlets,kleinen,,marschieren,,izt,kriegerischer,,,,anstalten,neuen,,unverzüglich,lasset,anlaß,giebt,königreich,betrift,verlangt,,sollen,,abermaligen,musik,andre,,sagen,geltend,undunnatürlichen,,leiche,veranlaßt,trummeln,blossen,bey,kan,bey,verrätherey,traurigem,vergiftet,anstalten,leichen,verrätherey,anstalten,bey,hast,reden,hast,vergiftet,bey,vergiftet,stirbt,mehr,hast,bey,bey,anstalten,hören,andre,laß,hören,sollten,sollten,hören,vergiftet,mehr,hast,verrätherey,stirbt,vergiftet,stirbt,hast,verrätherey,verrätherey,vergiftet,laßt,laßt,stirbt,seyd,seyd
27,mutter,,,,,,,,,,,,,stük,,geschüz,,abermaligen,leiche,geschüz,,stük,,gemüther,musik,,,,unverzüglich,verwirrungen,,gemacht,anstalten,geben,befehl,zufälle,umarme,hören,,adel,,salve,vier,ziehen,,könne,veranlaßt,thaten,,kriegerischer,hievon,hast,zufall,stirbt,umständliche,stirbt,mehr,herzen,verrätherey,gemacht,blutigen,mehr,gemacht,stirbt,blutigen,munde,blutigen,verrätherey,stirbt,verrätherey,hast,laß,blutigen,stirbt,stirbt,gemacht,reden,anstalten,bey,andre,blutigen,blutigen,andre,verrätherey,laß,sollten,mehr,hast,verrätherey,hast,sollten,mehr,mehr,verrätherey,vergiftet,vergiftet,hast,thun,that
28,lassen,,,,,,,,,,,,,hört,,,,salve,kriegerischer,,,hört,,bestürzt,vier,,,,gemacht,anlaß,,izt,unverzüglich,könnten,hamlets,geltend,glük,sollen,,zusammen,,kleinen,hauptmännern,lasset,,dinge,hievon,verrätherische,,musik,reden,anblik,ende,trummeln,echte,trummeln,bey,recht,mehr,geben,hören,laß,geben,trummeln,hören,andre,hören,mehr,trummeln,mehr,anblik,bey,hören,trummeln,tod,geben,andre,gemacht,stirbt,anstalten,hören,hören,anstalten,laß,bey,hören,laß,sollten,laß,sollten,hören,laß,laß,mehr,verrätherey,verrätherey,sollten,that,mutter
29,that,,,,,,,,,,,,,abermaligen,,,,kleinen,musik,,,abermaligen,,unfähig,hauptmännern,,,,izt,geben,,gemüther,gemacht,giebt,leiche,veranlaßt,traurigem,adel,,beruffen,,geschüz,gerüste,anstalten,,sichzugetragen,reden,ränke,,vier,munde,kommt,mißlungenenanschläge,hast,nachricht,hast,stirbt,königreich,laß,hamlets,betrift,bey,befehl,hast,reden,anstalten,reden,laß,tod,laß,leichen,stirbt,reden,tod,hast,befehl,anstalten,geben,trummeln,gemacht,andre,andre,gemacht,himmel,stirbt,andre,himmel,hören,himmel,blutigen,anstalten,himmel,himmel,laß,mehr,mehr,hören,mutter,lassen
30,marcellus,,,,,,,,,,,,,salve,,,,geschüz,vier,,,salve,,entwürfe,gerüste,,,,gemüther,könnten,,bestürzt,izt,befehl,kriegerischer,hievon,herzen,zusammen,,betrift,,,getragen,unverzüglich,,werdet,munde,blossen,,hauptmännern,stimme,leichen,erfinder,anblik,verlangt,anblik,trummeln,zufälle,bey,leiche,umarme,stirbt,gerüste,anblik,munde,gemacht,munde,bey,hast,bey,blutigen,trummeln,munde,hast,leichen,laßt,gemacht,befehl,tod,geben,anstalten,anstalten,geben,bey,tod,anstalten,bey,andre,bey,hören,gemacht,bey,bey,bey,laß,laß,geben,lassen,thun
31,nacht,,,,,,,,,,,,,kleinen,,,,,hauptmännern,,,kleinen,,neuen,getragen,,,,bestürzt,giebt,,unfähig,gemüther,hamlets,musik,reden,recht,beruffen,,umarme,,,marschieren,gemacht,,grausamen,stimme,zufall,,gerüste,andre,einemerhöheten,eignen,leichen,hören,seyd,hast,geltend,stirbt,kriegerischer,glük,trummeln,hört,leichen,andre,geben,andre,stirbt,anblik,stirbt,hören,tod,andre,anblik,blutigen,verrätherey,geben,gerüste,hast,befehl,gemacht,gemacht,befehl,leben,hast,gemacht,stirbt,anstalten,leben,reden,geben,stirbt,stirbt,stirbt,bey,himmel,befehl,marcellus,marcellus
