rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2308,k4617
21,sir,,,,,,,,,,,,ordnance,,,,_exeunt,_exeunt,,,dead,ordnance,_exeunt,ordnance,bearing,music,war,,field,,bearing,captains,off._,perform,much,,becomes,bear,shot,ordnance,give,hear,give,ordnance,bid,speak,give,tell,thou,soldiers,soldiers,soldiers,tell,cause,cause,tell,cause,shall,speak,tell,would,would,england,would,would,polonius,give,give,thee,give,thee,give,thee,thee,give,give,thee,thee,thee,rosencrantz,drink,drink,drink,drink,drink,drink,drink,drink,know,know,know,know,know,know,know,know,know,know,know,like,like,well,tis
22,may,,,,,,,,,,,,shot,,,,bearing,bearing,,,march._,shot,bearing,shot,bodies,rites,speak,,shows,,bodies,bear,,even,amiss,,field,like,off._,shot,bloody,shall,hear,shot,soldiers,field,hear,commandment,tell,bodies,bodies,bodies,england,put,put,death,speak,cause,soldiers,england,tell,england,speak,tell,england,would,would,would,would,know,know,would,know,know,would,would,would,would,would,give,give,give,give,give,give,give,give,give,drink,drink,drink,drink,drink,give,drink,drink,drink,drink,like,know,know,clown,first
23,father,,,,,,,,,,,,off._,,,,peal,peal,,,_exeunt,off._,peal,off._,peal,war,loudly,,much,,peal,like,,men,bid,,shows,soldier,,off._,hear,cause,shall,off._,shoot,shows,shall,england,england,tell,tell,tell,hear,speak,speak,england,sight,put,bodies,speak,england,speak,bodies,england,speak,know,know,know,know,would,would,know,would,would,know,know,know,ophelia,rosencrantz,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,know,give,give,give,give,give,drink,give,give,give,give,drink,drink,give,tis,may
24,enter,,,,,,,,,,,,,,,,ordnance,ordnance,,,bearing,,ordnance,,ordnance,speak,take,,amiss,,ordnance,soldier,,minds,soldiers,,much,stage,,,shall,bear,cause,,dead,much,cause,bloody,hear,commandment,commandment,bloody,shall,sight,sight,bloody,soldiers,speak,poison,sight,speak,soldiers,poison,speak,bodies,tell,tell,tell,poison,england,england,england,poison,poison,england,england,ophelia,know,ophelia,thee,know,thee,thee,thee,know,know,know,thee,fortinbras,fortinbras,fortinbras,fortinbras,thee,fortinbras,fortinbras,fortinbras,thee,like,give,give,well,may,father
25,love,,,,,,,,,,,,,,,,shot,shot,,,peal,,shot,,shot,loudly,sight,,bid,,shot,stage,,wild,shoot,,amiss,likely,,,cause,like,like,,march._,amiss,put,hear,shall,death,death,hear,cause,soldiers,soldiers,hear,bodies,sight,would,soldiers,sight,bodies,would,sight,polonius,death,england,england,tell,speak,speak,speak,tell,tell,speak,speak,poison,rosencrantz,know,know,thee,know,know,know,thee,thee,thee,fortinbras,thee,thee,thee,thee,fortinbras,thee,thee,thee,fortinbras,thee,thee,fortinbras,drink,father,enter
26,hath,,,,,,,,,,,,,,,,off._,off._,,,ordnance,,off._,,off._,take,becomes,,shoot,,off._,likely,,lest,dead,,bid,put,,,draw,soldier,soldier,,_exeunt,bid,music,shall,cause,bloody,bloody,shall,stage,bearing,bodies,shall,poison,soldiers,tell,bodies,soldiers,poison,tell,soldiers,know,england,speak,speak,death,bodies,poison,bodies,death,death,bodies,bodies,tell,poison,tell,poison,well,poison,england,tell,poison,poison,england,well,well,england,well,well,england,well,well,england,like,fortinbras,fortinbras,well,fortinbras,enter,love
27,speak,,,,,,,,,,,,,,,,,,,,shot,,,,,sight,field,,dead,,,put,,mischance,march._,,soldiers,prov,,,presently,stage,stage,,bearing,soldiers,rites,cause,stage,hear,hear,cause,put,bodies,shot,cause,would,bodies,commandment,poison,bodies,tell,death,bodies,poison,yet,sight,sight,england,poison,tell,poison,england,england,poison,ophelia,rosencrantz,tell,england,tell,poison,tell,well,england,tell,tell,well,hit,poison,well,poison,poison,well,poison,poison,like,well,well,well,thee,thee,love,hath
28,first,,,,,,,,,,,,,,,,,,,,off._,,,,,becomes,shows,,march._,,,prov,,plots,_exeunt,,shoot,royally,,,perform,likely,likely,,bodies,shoot,war,mouth,likely,shall,shall,plots,sight,peal,off._,stage,tell,poison,death,good,poison,commandment,yet,know,tell,hear,soldiers,soldiers,yet,tell,death,tell,yet,yet,tell,well,death,death,speak,death,tell,death,hit,speak,england,england,hit,poison,tell,hit,tell,tell,hit,tell,england,well,hit,love,love,love,enter,give,speak
29,give,,,,,,,,,,,,,,,,,,,,,,,,,field,much,,_exeunt,,,royally,,errors,bearing,,dead,passage,,,even,put,put,,peal,dead,loudly,voice,put,cause,also,errors,becomes,ordnance,,put,commandment,would,yet,commandment,commandment,death,hear,poison,death,cause,dead,bodies,cause,commandment,yet,death,speak,speak,death,poison,england,england,bodies,england,death,england,poison,bodies,yet,yet,poison,tell,death,poison,death,england,poison,death,yet,hit,poison,hit,hit,enter,love,speak,give
30,must,,,,,,,,,,,,,,,,,,,,,,,,,shows,amiss,,bearing,,,passage,,happen,peal,,march._,music,,,men,prov,prov,,ordnance,march._,take,draw,prov,mouth,cause,happen,field,shot,,war,death,commandment,bloody,death,death,yet,cause,commandment,yet,put,bodies,hit,speak,death,hear,yet,sight,sight,yet,tell,yet,yet,well,yet,england,yet,tell,well,speak,speak,tell,death,england,tell,england,yet,tell,england,like,poison,tell,poison,poison,england,poison,hath,clown
