rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1925,k3852
21,hippolyta,,,,,,,,,,,,wilhelm,august,,,,etextes,ende,etextes,schlegel,,,heißen,,,,sommernachtstraum,gewognen,dankes,sommernachtstraum,ehre,,schlangenzischen,entwischen,begrüßt,dichten,begrüßt,verteidigt,nachtgesichten,august,haus,verheißt,habet,geschlecht,singt,übersetzt,willig,singt,bald,schelm,hand,titania,hand,geschlecht,bald,bald,leise,droll,haus,haus,titania,droll,bald,geschlecht,titania,hippolyta,haus,titania,titania,titania,titania,haus,gut,mondschein,mondschein,gut,sei,oberon,oberon,elfen,oberon,sei,elfen,sei,elfen,elfen,elfen,mondschein,elfen,elfen,elfen,elfen,elfen,tanz,tanz,titania,tanz,mondschein,mondschein,sei,hippolyta
22,mann,,,,,,,,,,,,schlegel,wilhelm,,,,sommernachtstraum,projekt,sommernachtstraum,,,,willig,,,,william,händen,zoll,william,droll,,unverdienterweis,verheißt,gewognen,wollt,gewognen,schier,eignen,wilhelm,segnet,ehre,geschlummert,haus,geschlecht,august,geschieht,geschlecht,unsres,heißen,singt,beßres,singt,haus,jetzo,hippolyta,hand,bald,titania,titania,droll,bald,hippolyta,haus,droll,jetzo,titania,droll,bald,droll,droll,sei,mondschein,jetzo,jetzo,mondschein,titania,gut,gut,sei,gut,oberon,haus,oberon,haus,gut,gut,haus,sei,gut,gut,titania,titania,elfen,elfen,mann,mann,tanz,tanz,wohl,mann
23,schon,,,,,,,,,,,,,schlegel,,,,william,gutenberg,william,,,,geschieht,,,,shakespeare,ende,schelm,shakespeare,unsres,,entwischen,ehre,händen,kindertand,händen,habet,hirnes,schlegel,trefft,droll,geschaut,segnet,haus,wilhelm,billig,haus,dankes,willig,geschlecht,sehn,geschlecht,segnet,leise,zettel,singt,gut,droll,droll,bald,gut,jetzo,titania,bald,leise,droll,bald,gut,bald,bald,titania,jetzo,haus,haus,jetzo,gut,mondschein,mondschein,titania,mann,gut,sei,gut,sei,mann,mann,sei,titania,mann,mann,gut,gut,sei,gut,elfen,elfen,elfen,elfen,herz,löwe
24,mehr,,,,,,,,,,,,,,,,,shakespeare,etextes,shakespeare,,,,billig,,,,übersetzt,projekt,heißen,übersetzt,dankes,,verheißt,droll,ende,leere,ende,geschlummert,dichten,,dämmerung,bald,nachtgesichten,titania,segnet,schlegel,gute,segnet,zoll,geschieht,haus,bösem,haus,titania,hand,jetzo,geschlecht,hippolyta,bald,bald,sommernachtstraum,hippolyta,leise,droll,gut,hand,bald,gut,ade,gut,gut,bald,leise,sei,sei,haus,mann,jetzo,jetzo,gut,mondschein,mann,titania,mann,titania,jetzo,jetzo,titania,gut,jetzo,haus,mann,mann,gut,mann,sei,sei,gut,gut,mann,mond
25,tritt,,,,,,,,,,,,,,,,,übersetzt,sommernachtstraum,übersetzt,,,,gute,,,,august,gutenberg,willig,august,zoll,,ehre,unsres,projekt,träume,projekt,geschaut,wollt,,titania,unsres,eignen,gefolge,herr,,nacht,titania,schelm,billig,segnet,schlangenzischen,segnet,beßres,singt,leise,haus,epilog,begrüßt,geschieht,william,ade,hand,bald,ade,singt,gut,mann,mondschein,mondschein,mann,gut,hand,titania,titania,sei,mondschein,geschlecht,geschlecht,mann,jetzo,jetzo,gut,jetzo,gut,haus,haus,gut,mann,haus,sei,jetzo,jetzo,mann,jetzo,philostrat,liebe,mann,mann,schon,schon
26,löwe,,,,,,,,,,,,,,,,,august,william,august,,,,nacht,,,,wilhelm,etextes,geschieht,wilhelm,schelm,,droll,dankes,gutenberg,schwand,gutenberg,nachtgesichten,kindertand,,gefolge,dankes,hirnes,schatten,glücksgenoß,,spiel,habet,heißen,gute,titania,unverdienterweis,titania,sehn,geschlecht,hand,segnet,sieht,gewognen,billig,shakespeare,epilog,singt,spiel,mondschein,geschlecht,mann,ade,epilog,epilog,ade,mann,singt,bald,bald,titania,epilog,haus,haus,epilog,geschlecht,geschlecht,mann,leise,mann,sei,sei,mann,ade,sei,titania,haus,haus,jetzo,haus,gut,philostrat,haus,haus,mehr,mehr
27,mond,,,,,,,,,,,,,,,,,wilhelm,shakespeare,wilhelm,,,,spiel,,,,schlegel,sommernachtstraum,billig,schlegel,heißen,,unsres,zoll,etextes,liebe,etextes,eignen,leere,,schatten,zoll,dichten,beleidigt,genung,,enden,geschlummert,willig,spiel,geschaut,entwischen,schier,bösem,weiht,singt,titania,jetzo,händen,gute,übersetzt,sieht,geschlecht,projekt,epilog,haus,ade,mondschein,jetzo,jetzo,mondschein,ade,geschlecht,gut,gut,bald,jetzo,titania,titania,jetzo,haus,haus,ade,hand,ade,titania,titania,ade,epilog,titania,philostrat,sei,sei,haus,sei,ade,gut,sei,sei,tritt,tritt
28,fort,,,,,,,,,,,,,,,,,schlegel,übersetzt,schlegel,,,,enden,,,,,william,gute,,willig,,dankes,schelm,sommernachtstraum,herrn,sommernachtstraum,hirnes,träume,,beleidigt,schelm,wollt,glaubt,fort,,begrüßt,geschaut,geschieht,enden,nachtgesichten,verheißt,habet,schlangenzischen,segnet,geschlecht,nachtgesichten,geister,ende,spiel,august,jetzo,segnet,gutenberg,sieht,segnet,mondschein,epilog,leise,leise,epilog,mondschein,haus,mann,mann,spiel,leise,bald,bald,leise,titania,titania,epilog,singt,epilog,bald,bald,epilog,jetzo,bald,ade,bald,bald,bald,bald,epilog,jetzo,philostrat,spiel,elfen,fort
29,laßt,,,,,,,,,,,,,,,,,,august,,,,,begrüßt,,,,,shakespeare,nacht,,geschieht,,zoll,heißen,william,gar,william,dichten,schwand,,glaubt,heißen,kindertand,wohl,sprung,,gewognen,nachtgesichten,billig,begrüßt,eignen,ehre,geschlummert,unverdienterweis,allzumal,wiesentaus,eignen,leise,projekt,enden,wilhelm,geister,gefolge,etextes,jetzo,gefolge,epilog,sieht,hand,hand,jetzo,epilog,segnet,ade,ade,mann,hand,spiel,spiel,hand,bald,bald,jetzo,geschlecht,jetzo,spiel,spiel,jetzo,leise,spiel,epilog,spiel,spiel,spiel,spiel,jetzo,geschlecht,prolog,philostrat,sagen,sagen
30,sagen,,,,,,,,,,,,,,,,,,wilhelm,,,,,gewognen,,,,,übersetzt,spiel,,billig,,schelm,willig,shakespeare,verschmähn,shakespeare,wollt,liebe,,wohl,willig,leere,verteidigt,trefft,,händen,eignen,gute,gewognen,hirnes,droll,geschaut,entwischen,friede,zimmer,hirnes,hand,gutenberg,begrüßt,schlegel,leise,eignen,sommernachtstraum,geister,sehn,sieht,jetzo,singt,singt,leise,sieht,titania,epilog,epilog,ade,singt,mann,mann,singt,spiel,spiel,leise,haus,leise,philostrat,philostrat,leise,hand,philostrat,sieht,philostrat,philostrat,philostrat,philostrat,leise,haus,sagen,prolog,fort,elfen
