rank,exact,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1441,k2884
21,oberon,,,,,,,,,,,restore,restore,give,,liar,,night,,,,scape,pardon,idle,long,,give,amends,friends,weak,meet,,tongue,robin,gentles,titania,bless,sing,give,sing,die,house,amends,puck,amends,hand,ever,puck,amends,oberon,thus,hand,thus,ever,thus,fairy,puck,puck,oberon,thus,oberon,fairy,thus,enter,enter,enter,enter,die,die,sweet,sweet,dead,sweet,dead,dead,dead,lord,dead,quince,quince,quince,quince,sweet,sweet,sweet,sweet,sweet,sweet,puck,puck,moon,moon,moon,moon,night,night,sweet,sweet,oberon,oberon
22,must,,,,,,,,,,,,,hands,,call,,unto,,,,serpent,mend,theme,else,,hands,,robin,idle,break,,make,restore,reprehend,weak,break,house,hands,house,light,hand,man,amends,thy,ever,titania,amends,thy,puck,house,ever,house,oberon,hand,ever,thus,thus,puck,enter,puck,ever,enter,puck,thus,sweet,sweet,sweet,sweet,die,die,lord,die,lord,lord,lord,dead,lord,lord,lord,lord,lord,lord,puck,puck,puck,puck,puck,sweet,sweet,sweet,sweet,sweet,sweet,sweet,sweet,lion,lion,wall,must
23,one,,,,,,,,,,,,,friends,,good,,give,,,,tongue,honest,yielding,liar,,friends,,restore,theme,day,,ere,amends,pardon,idle,day,issue,friends,issue,sing,issue,thus,thy,thus,titania,make,thy,thus,amends,hand,titania,hand,amends,ever,oberon,enter,bottom,thus,hand,thus,oberon,fairy,thus,fairy,thus,thus,thus,lord,lord,puck,die,lord,die,die,die,die,die,dead,dead,dead,hippolyta,puck,lord,lord,lord,lord,lord,lord,lord,lord,lord,night,night,moon,moon,moon,oberon,lion,lion
24,good,,,,,,,,,,,,,robin,,night,,hands,,,,make,unearnèd,dream,call,,robin,,amends,yielding,_exeunt,,long,,mend,theme,titania,every,robin,every,house,every,sing,thus,house,make,amends,thus,house,thus,ever,night,ever,thus,titania,amends,house,enter,enter,fairy,enter,puck,sweet,fairy,sweet,fairy,fairy,fairy,thus,thus,lord,fairy,hippolyta,fairy,puck,puck,hippolyta,quince,die,die,die,dead,hippolyta,dead,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,night,lord,oberon,oberon,oberon,oberon,moon,must,one
25,titania,,,,,,,,,,,,,restore,,unto,,friends,,,,ere,luck,gentles,good,,restore,,,dream,titania,,else,,honest,yielding,think,bless,restore,bless,issue,break,house,sing,hand,night,thy,house,hand,house,titania,amends,titania,enter,night,thus,hand,house,house,ever,house,thee,ever,sweet,ever,oberon,oberon,oberon,fairy,fairy,hippolyta,puck,thus,puck,hippolyta,hippolyta,thus,hippolyta,hippolyta,hippolyta,hippolyta,puck,dead,die,dead,dead,dead,dead,dead,dead,dead,hippolyta,oberon,lord,lord,lord,lord,lord,one,wall
26,eyes,,,,,,,,,,,,,,,give,,robin,,,,long,scape,reprehend,night,,amends,,,gentles,train._,,liar,,unearnèd,dream,mended,away,amends,stay,every,day,issue,house,issue,robin,thus,issue,issue,issue,make,thus,make,sing,amends,enter,ever,hand,hand,oberon,hand,thus,oberon,ever,oberon,puck,puck,puck,oberon,oberon,thus,hippolyta,fairy,hippolyta,thus,thus,fairy,thus,thus,thus,puck,die,die,hippolyta,die,die,die,die,oberon,oberon,oberon,oberon,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,good,good
27,would,,,,,,,,,,,,,,,hands,,restore,,,,else,serpent,pardon,unto,,,,,reprehend,shadows,,call,,luck,gentles,slumber,stay,,meet,bless,titania,every,issue,every,restore,light,every,every,every,night,light,night,house,helena,house,titania,every,ever,amends,sweet,house,puck,oberon,puck,lord,lord,lord,puck,puck,fairy,thus,oberon,thus,fairy,fairy,puck,fairy,fairy,fairy,thus,thus,thus,thus,thus,thus,oberon,oberon,die,good,night,dead,dead,dead,dead,one,one,one,titania,titania
28,let,,,,,,,,,,,,,,,friends,,,,,,liar,tongue,mend,give,,,,,pardon,offended,,good,,scape,reprehend,visions,meet,,break,blest,dream,bless,every,break,amends,sing,bless,bless,bless,amends,sing,amends,issue,enter,issue,make,ever,titania,sing,ever,hand,house,house,lord,house,hippolyta,hippolyta,night,night,oberon,hand,puck,hand,oberon,oberon,night,oberon,puck,puck,play,fairy,fairy,play,good,play,good,good,thus,night,die,good,good,good,good,dead,dead,dead,moon,eyes
29,see,,,,,,,,,,,,,,,robin,,,,,,call,make,honest,hands,,,,,mend,think,,night,,serpent,pardon,appear,break,,day,safety,gentles,break,bless,day,,house,break,break,break,light,house,enter,every,light,every,night,titania,make,house,titania,every,hand,hand,house,hand,house,house,hippolyta,hippolyta,night,ever,night,ever,night,night,quince,puck,night,night,fairy,night,night,fairy,night,fairy,night,thus,good,die,good,die,die,die,die,titania,titania,titania,see,see
30,hath,,,,,,,,,,,,,,,restore,,,,,,good,ere,unearnèd,friends,,,,,honest,mended,,unto,,tongue,mend,weak,day,,_exeunt,rest,reprehend,day,break,titania,,issue,day,day,day,sing,issue,light,bless,sing,bless,amends,make,night,issue,make,sweet,issue,issue,hand,every,hand,hand,see,see,moonshine,oberon,see,oberon,quince,quince,see,night,moonshine,moonshine,oberon,moonshine,moonshine,good,moonshine,oberon,thus,play,night,thus,thus,thus,thus,play,thus,good,good,good,eyes,would
