letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
U,3228.0,4.1793,12.0,3090.0,3404.0,3228.0,12.0,4.1809,68.0874,4635.8922,0.0,0.0,873.0,9887.0,3276.0,12.0,4.2086,1607.6959,2584685.9902,48.0,1.487
C,2897.0,3.7507,12.0,2790.0,3026.0,2900.0,12.0,3.756,51.9052,2694.1535,3.0,0.1036,873.0,6991.0,2726.0,12.0,3.502,1339.6858,1794758.1649,171.0,5.9027
M,2598.0,3.3636,12.0,2472.0,2682.0,2583.0,12.0,3.3455,49.3571,2436.1224,15.0,0.5774,873.0,4943.0,2468.0,12.0,3.1706,1058.4908,1120402.8751,130.0,5.0038
O,2015.0,2.6088,11.0,1862.0,2144.0,2009.0,11.0,2.602,52.6933,2776.5812,6.0,0.2978,617.0,4943.0,1822.0,11.0,2.3407,923.7229,853263.9167,193.0,9.5782
G,1831.0,2.3706,11.0,1726.0,1896.0,1822.0,11.0,2.3598,41.6689,1736.3004,9.0,0.4915,873.0,4943.0,1756.0,11.0,2.2559,786.88,619180.0751,75.0,4.0961
B,1551.0,2.0081,11.0,1464.0,1654.0,1557.0,11.0,2.0166,45.4362,2064.4506,6.0,0.3868,617.0,3495.0,1620.0,11.0,2.0812,693.7829,481334.6939,69.0,4.4487
W,1503.0,1.9459,11.0,1420.0,1612.0,1505.0,11.0,1.9493,45.8207,2099.5331,2.0,0.1331,617.0,3495.0,1660.0,11.0,2.1326,635.1068,403360.6678,157.0,10.4458
F,1164.0,1.507,11.0,1064.0,1252.0,1159.0,11.0,1.5011,39.6727,1573.9249,5.0,0.4296,436.0,3495.0,1202.0,11.0,1.5442,550.3441,302878.6159,38.0,3.2646
Z,950.0,1.23,10.0,928.0,1022.0,965.0,10.0,1.2499,25.5027,650.3853,15.0,1.5789,436.0,1747.0,898.0,10.0,1.1536,354.16,125429.3127,52.0,5.4737
K,881.0,1.1406,10.0,820.0,932.0,876.0,10.0,1.1346,27.1799,738.7494,5.0,0.5675,308.0,2471.0,970.0,10.0,1.2461,411.6789,169479.4796,89.0,10.1022
P,594.0,0.7691,10.0,556.0,650.0,596.0,10.0,0.7719,21.7457,472.8751,2.0,0.3367,308.0,1747.0,673.0,10.0,0.8646,355.4456,126341.5918,79.0,13.2997
V,499.0,0.6461,9.0,448.0,556.0,501.0,9.0,0.6489,21.7113,471.3812,2.0,0.4008,217.0,1235.0,531.0,10.0,0.6822,270.5682,73207.1384,32.0,6.4128
Y,198.0,0.2564,8.0,162.0,226.0,198.0,8.0,0.2564,12.4041,153.8629,0.0,0.0,76.0,617.0,206.0,8.0,0.2646,105.8253,11199.0045,8.0,4.0404
J,170.0,0.2201,8.0,140.0,196.0,170.0,8.0,0.2202,11.104,123.2996,0.0,0.0,76.0,308.0,166.0,8.0,0.2133,50.2798,2528.0555,4.0,2.3529
Q,65.0,0.0842,7.0,44.0,84.0,63.0,6.0,0.0816,7.3233,53.631,2.0,3.0769,12.0,108.0,66.0,7.0,0.0848,20.7127,429.0139,1.0,1.5385
X,4.0,0.0052,2.0,0.0,8.0,4.0,2.0,0.0052,1.8321,3.3567,0.0,0.0,2.0,8.0,4.0,2.0,0.0051,1.7637,3.1106,0.0,0.0
