letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
C,6304.0,3.8408,13.0,6092.0,6468.0,6296.0,13.0,3.838,82.7258,6843.5608,8.0,0.1269,3495.0,13983.0,5873.0,13.0,3.6664,2109.3891,4449522.4424,431.0,6.8369
M,5392.0,3.2852,13.0,5270.0,5576.0,5398.0,13.0,3.2906,69.9826,4897.569,6.0,0.1113,2471.0,9887.0,5124.0,13.0,3.1988,1870.4926,3498742.7004,268.0,4.9703
P,3930.0,2.3944,12.0,3782.0,4036.0,3930.0,12.0,2.3957,57.6052,3318.3608,0.0,0.0,1235.0,6991.0,3720.0,12.0,2.3223,1364.9843,1863182.1127,210.0,5.3435
H,2542.0,1.5488,12.0,2402.0,2670.0,2535.0,12.0,1.5453,60.4676,3656.3331,7.0,0.2754,873.0,4943.0,2356.0,12.0,1.4708,919.9979,846396.0816,186.0,7.3171
Q,2208.0,1.3453,12.0,2104.0,2306.0,2192.0,12.0,1.3362,48.6034,2362.2857,16.0,0.7246,873.0,6991.0,1994.0,11.0,1.2448,1076.779,1159453.102,214.0,9.692
B,2000.0,1.2185,11.0,1898.0,2078.0,1982.0,11.0,1.2082,43.5431,1896.0,18.0,0.9,873.0,6991.0,2199.0,12.0,1.3728,1058.8978,1121264.5241,199.0,9.95
Y,1956.0,1.1917,11.0,1858.0,2044.0,1955.0,11.0,1.1918,38.9391,1516.2514,1.0,0.0511,873.0,4943.0,1894.0,11.0,1.1824,778.4631,606004.8588,62.0,3.1697
V,1936.0,1.1795,11.0,1840.0,2044.0,1939.0,11.0,1.182,48.9896,2399.982,3.0,0.155,873.0,4943.0,2248.0,12.0,1.4034,1005.7363,1011505.4955,312.0,16.1157
G,1803.0,1.0985,11.0,1678.0,1888.0,1800.0,11.0,1.0973,47.337,2240.7902,3.0,0.1664,873.0,3495.0,1890.0,11.0,1.1799,788.93,622410.4882,87.0,4.8253
Á,1626.0,0.9907,11.0,1528.0,1736.0,1630.0,11.0,0.9936,43.8941,1926.6955,4.0,0.246,617.0,3495.0,1594.0,11.0,0.9951,743.4054,552651.618,32.0,1.968
F,1079.0,0.6574,11.0,982.0,1164.0,1082.0,11.0,0.6596,31.665,1002.671,3.0,0.278,436.0,2471.0,1088.0,11.0,0.6792,433.8579,188232.7188,9.0,0.8341
Í,1015.0,0.6184,10.0,956.0,1098.0,1015.0,10.0,0.6187,33.8355,1144.8424,0.0,0.0,436.0,2471.0,985.0,10.0,0.6149,451.6447,203982.9098,30.0,2.9557
É,1012.0,0.6166,10.0,962.0,1104.0,1017.0,10.0,0.62,29.281,857.378,5.0,0.4941,436.0,2471.0,1040.0,11.0,0.6492,474.8032,225438.1045,28.0,2.7668
Ó,901.0,0.549,10.0,838.0,956.0,901.0,10.0,0.5492,31.4701,990.369,0.0,0.0,436.0,1747.0,934.0,10.0,0.5831,362.2112,131196.949,33.0,3.6626
Z,653.0,0.3979,10.0,604.0,708.0,657.0,10.0,0.4005,23.3733,546.3118,4.0,0.6126,217.0,1235.0,617.0,10.0,0.3852,231.0284,53374.1392,36.0,5.513
J,551.0,0.3357,10.0,500.0,598.0,556.0,10.0,0.3389,24.2671,588.8914,5.0,0.9074,217.0,1747.0,571.0,10.0,0.3565,291.2364,84818.6241,20.0,3.6298
Ñ,409.0,0.2492,9.0,370.0,448.0,408.0,9.0,0.2487,18.2238,332.1078,1.0,0.2445,153.0,873.0,395.0,9.0,0.2466,178.4398,31840.7596,14.0,3.423
X,274.0,0.1669,9.0,238.0,324.0,275.0,9.0,0.1676,15.9155,253.3045,1.0,0.365,108.0,617.0,270.0,9.0,0.1686,118.377,14013.1024,4.0,1.4599
Ú,212.0,0.1292,8.0,182.0,246.0,212.0,8.0,0.1292,14.0748,198.0996,0.0,0.0,76.0,617.0,215.0,8.0,0.1342,115.7953,13408.5506,3.0,1.4151
º,66.0,0.0402,7.0,46.0,84.0,66.0,7.0,0.0402,9.3008,86.5045,0.0,0.0,26.0,217.0,72.0,7.0,0.0449,36.2322,1312.771,6.0,9.0909
Ü,10.0,0.0061,4.0,2.0,18.0,9.0,4.0,0.0055,3.3381,11.1429,1.0,10.0,5.0,26.0,11.0,4.0,0.0069,4.859,23.6098,1.0,10.0
K,5.0,0.003,3.0,0.0,10.0,5.0,3.0,0.003,2.5951,6.7347,0.0,0.0,2.0,12.0,5.0,3.0,0.0031,2.042,4.1698,0.0,0.0
W,4.0,0.0024,2.0,0.0,8.0,3.0,2.0,0.0018,2.0796,4.3249,1.0,25.0,2.0,8.0,4.0,2.0,0.0025,1.9625,3.8514,0.0,0.0
Ï,1.0,0.0006,0.0,0.0,2.0,0.0,-inf,0.0,1.0069,1.0139,1.0,100.0,2.0,2.0,2.0,1.0,0.0012,0.0,0.0,1.0,100.0
