letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
F,2401.0,1.003,12.0,2320.0,2534.0,2410.0,12.0,1.0066,53.6538,2878.7347,9.0,0.3748,617.0,4943.0,2278.0,12.0,0.94,802.6208,644200.222,123.0,5.1229
G,2235.0,0.9336,12.0,2150.0,2320.0,2235.0,12.0,0.9335,41.187,1696.3673,0.0,0.0,873.0,6991.0,2204.0,12.0,0.9094,1079.1372,1164536.9943,31.0,1.387
B,1936.0,0.8087,11.0,1804.0,2056.0,1937.0,11.0,0.809,52.7343,2780.9045,1.0,0.0517,617.0,3495.0,1860.0,11.0,0.7675,643.6669,414307.0955,76.0,3.9256
J,1333.0,0.5568,11.0,1266.0,1420.0,1335.0,11.0,0.5576,32.9409,1085.102,2.0,0.15,436.0,3495.0,1327.0,11.0,0.5476,576.2468,332060.3433,6.0,0.4501
À,1252.0,0.523,11.0,1166.0,1314.0,1256.0,11.0,0.5246,30.1617,909.729,4.0,0.3195,617.0,3495.0,1389.0,11.0,0.5731,758.8879,575910.7853,137.0,10.9425
È,827.0,0.3455,10.0,760.0,878.0,820.0,10.0,0.3425,29.906,894.3673,7.0,0.8464,436.0,1235.0,686.0,10.0,0.2831,235.4406,55432.2922,141.0,17.0496
X,784.0,0.3275,10.0,724.0,842.0,790.0,10.0,0.33,27.1048,734.6678,6.0,0.7653,308.0,3495.0,928.0,10.0,0.3829,635.0697,403313.4796,144.0,18.3673
Z,736.0,0.3074,10.0,660.0,794.0,733.0,10.0,0.3062,30.1242,907.4694,3.0,0.4076,308.0,1747.0,757.0,10.0,0.3124,321.5067,103366.5816,21.0,2.8533
Y,627.0,0.2619,10.0,586.0,668.0,629.0,10.0,0.2627,20.8483,434.6531,2.0,0.319,308.0,1235.0,578.0,10.0,0.2385,251.3119,63157.6902,49.0,7.815
Ê,585.0,0.2444,10.0,500.0,642.0,586.0,10.0,0.2448,24.3588,593.3535,1.0,0.1709,217.0,1235.0,574.0,10.0,0.2368,261.2529,68253.0678,11.0,1.8803
Â,264.0,0.1103,9.0,212.0,308.0,264.0,9.0,0.1103,17.7209,314.031,0.0,0.0,108.0,617.0,263.0,9.0,0.1085,104.4257,10904.7347,1.0,0.3788
K,205.0,0.0856,8.0,172.0,230.0,204.0,8.0,0.0852,13.5611,183.9037,1.0,0.4878,76.0,308.0,187.0,8.0,0.0772,73.2279,5362.3282,18.0,8.7805
Ô,137.0,0.0572,8.0,118.0,160.0,136.0,8.0,0.0568,10.8743,118.2514,1.0,0.7299,53.0,308.0,139.0,8.0,0.0574,63.3597,4014.449,2.0,1.4599
Ù,125.0,0.0522,7.0,94.0,152.0,124.0,7.0,0.0518,11.6969,136.818,1.0,0.8,53.0,308.0,129.0,8.0,0.0532,62.6946,3930.6122,4.0,3.2
Û,114.0,0.0476,7.0,94.0,134.0,114.0,7.0,0.0476,9.9242,98.4898,0.0,0.0,53.0,217.0,109.0,7.0,0.045,40.2204,1617.6837,5.0,4.386
Î,100.0,0.0418,7.0,82.0,122.0,101.0,7.0,0.0422,9.202,84.6759,1.0,1.0,37.0,308.0,102.0,7.0,0.0421,53.302,2841.1004,2.0,2.0
Ç,89.0,0.0372,7.0,66.0,106.0,89.0,7.0,0.0372,9.2727,85.982,0.0,0.0,26.0,308.0,89.0,7.0,0.0367,51.9159,2695.2608,0.0,0.0
Ë,68.0,0.0284,7.0,54.0,82.0,68.0,7.0,0.0284,7.2214,52.1486,0.0,0.0,37.0,153.0,70.0,7.0,0.0289,31.0824,966.1159,2.0,2.9412
W,35.0,0.0146,6.0,22.0,52.0,34.0,6.0,0.0142,6.7714,45.8514,1.0,2.8571,12.0,108.0,37.0,6.0,0.0153,18.3494,336.7004,2.0,5.7143
Ï,19.0,0.0079,5.0,10.0,30.0,18.0,5.0,0.0075,4.9116,24.1241,1.0,5.2632,8.0,53.0,20.0,5.0,0.0083,9.4524,89.3469,1.0,5.2632
Æ,1.0,0.0004,0.0,0.0,2.0,0.0,-inf,0.0,0.9897,0.9796,1.0,100.0,2.0,2.0,2.0,1.0,0.0008,0.0,0.0,1.0,100.0
