letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
D,3380.0,3.7257,12.0,3270.0,3534.0,3381.0,12.0,3.7285,62.1322,3860.4098,1.0,0.0296,873.0,6991.0,3307.0,12.0,3.5629,1382.2472,1910607.2963,73.0,2.1598
M,2659.0,2.931,12.0,2550.0,2768.0,2657.0,12.0,2.9301,55.3319,3061.618,2.0,0.0752,1235.0,6991.0,2668.0,12.0,2.8744,1258.4348,1583658.1943,9.0,0.3385
U,2554.0,2.8152,12.0,2440.0,2660.0,2560.0,12.0,2.8231,48.8561,2386.9208,6.0,0.2349,873.0,6991.0,2563.0,12.0,2.7613,1141.0481,1301990.7853,9.0,0.3524
F,2286.0,2.5198,12.0,2132.0,2354.0,2288.0,12.0,2.5231,43.3345,1877.8776,2.0,0.0875,873.0,4943.0,2272.0,12.0,2.4478,853.4195,728324.8343,14.0,0.6124
W,2167.0,2.3886,12.0,1982.0,2280.0,2156.0,12.0,2.3776,51.5835,2660.8588,11.0,0.5076,873.0,4943.0,2222.0,12.0,2.3939,977.3384,955190.271,55.0,2.5381
C,2003.0,2.2079,11.0,1906.0,2094.0,2003.0,11.0,2.2088,41.1166,1690.5731,0.0,0.0,617.0,6991.0,2085.0,12.0,2.2463,1154.4134,1332670.3037,82.0,4.0939
Y,1909.0,2.1043,11.0,1816.0,2020.0,1916.0,11.0,2.1129,44.2594,1958.8963,7.0,0.3667,617.0,6991.0,1944.0,11.0,2.0944,1114.8223,1242828.7347,35.0,1.8334
P,1839.0,2.0271,11.0,1748.0,1918.0,1838.0,11.0,2.0269,39.3394,1547.5918,1.0,0.0544,617.0,3495.0,1864.0,11.0,2.0082,766.8279,588024.9861,25.0,1.3594
B,1535.0,1.692,11.0,1450.0,1624.0,1531.0,11.0,1.6883,40.1909,1615.3078,4.0,0.2606,617.0,3495.0,1513.0,11.0,1.6301,617.2942,381052.0751,22.0,1.4332
G,1502.0,1.6556,11.0,1428.0,1584.0,1501.0,11.0,1.6553,39.5826,1566.7853,1.0,0.0666,617.0,3495.0,1605.0,11.0,1.7292,690.9136,477361.5739,103.0,6.8575
V,884.0,0.9744,10.0,832.0,938.0,883.0,10.0,0.9737,28.6085,818.449,1.0,0.1131,436.0,1747.0,883.0,10.0,0.9513,364.3803,132773.0306,1.0,0.1131
K,791.0,0.8719,10.0,740.0,848.0,790.0,10.0,0.8712,27.4775,755.0106,1.0,0.1264,308.0,1235.0,780.0,10.0,0.8404,321.2663,103212.0637,11.0,1.3906
J,181.0,0.1995,8.0,146.0,202.0,181.0,8.0,0.1996,11.782,138.8163,0.0,0.0,53.0,436.0,187.0,8.0,0.2015,81.0742,6573.029,6.0,3.3149
X,135.0,0.1488,8.0,110.0,164.0,133.0,8.0,0.1467,12.0976,146.3527,2.0,1.4815,53.0,217.0,132.0,8.0,0.1422,49.1812,2418.7857,3.0,2.2222
Q,66.0,0.0728,7.0,54.0,80.0,66.0,7.0,0.0728,6.5936,43.4759,0.0,0.0,26.0,153.0,58.0,6.0,0.0625,24.7691,613.5106,8.0,12.1212
Z,55.0,0.0606,6.0,28.0,72.0,56.0,6.0,0.0618,8.4321,71.1004,1.0,1.8182,26.0,153.0,56.0,6.0,0.0603,27.4413,753.0269,1.0,1.8182
Œ,7.0,0.0077,3.0,2.0,14.0,6.0,3.0,0.0066,2.3633,5.5853,1.0,14.2857,3.0,18.0,7.0,3.0,0.0075,3.0472,9.2853,0.0,0.0
É,2.0,0.0022,1.0,0.0,4.0,1.0,0.0,0.0011,1.3696,1.8759,1.0,50.0,2.0,3.0,2.0,1.0,0.0022,0.4712,0.222,0.0,0.0
Æ,1.0,0.0011,0.0,0.0,2.0,1.0,0.0,0.0011,0.9971,0.9943,0.0,0.0,2.0,2.0,2.0,1.0,0.0022,0.0,0.0,1.0,100.0
Ý,1.0,0.0011,0.0,0.0,2.0,0.0,-inf,0.0,0.9971,0.9943,1.0,100.0,2.0,2.0,2.0,1.0,0.0022,0.0,0.0,1.0,100.0
