letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
C,4111.0,4.3847,13.0,4002.0,4250.0,4110.0,13.0,4.3857,57.2887,3282.0,1.0,0.0243,1747.0,6991.0,4193.0,13.0,4.4355,1580.9628,2499443.4351,82.0,1.9946
L,3335.0,3.557,12.0,3096.0,3450.0,3328.0,12.0,3.5512,67.4105,4544.178,7.0,0.2099,873.0,6991.0,3426.0,12.0,3.6241,1520.2742,2311233.6735,91.0,2.7286
M,2672.0,2.8499,12.0,2574.0,2812.0,2673.0,12.0,2.8523,50.6339,2563.7959,1.0,0.0374,873.0,13983.0,2831.0,12.0,2.9947,2190.4097,4797894.7935,159.0,5.9506
G,2223.0,2.371,12.0,2086.0,2308.0,2219.0,12.0,2.3678,53.4076,2852.369,4.0,0.1799,1235.0,4943.0,2164.0,12.0,2.2891,1007.1048,1014260.0882,59.0,2.6541
O,2147.0,2.2899,12.0,2042.0,2258.0,2139.0,12.0,2.2825,49.0288,2403.822,8.0,0.3726,873.0,4943.0,2265.0,12.0,2.396,863.8707,746272.6465,118.0,5.496
B,1992.0,2.1246,11.0,1924.0,2076.0,1988.0,11.0,2.1213,37.8011,1428.9241,4.0,0.2008,873.0,4943.0,1992.0,11.0,2.1072,989.7043,979514.5616,0.0,0.0
W,1800.0,1.9198,11.0,1734.0,1888.0,1803.0,11.0,1.9239,35.783,1280.4261,3.0,0.1667,617.0,3495.0,1680.0,11.0,1.7772,721.5086,520574.6433,120.0,6.6667
F,1249.0,1.3322,11.0,1164.0,1308.0,1244.0,11.0,1.3274,33.8816,1147.9657,5.0,0.4003,617.0,1747.0,1143.0,11.0,1.2091,400.9197,160736.6269,106.0,8.4868
Z,933.0,0.9951,10.0,856.0,996.0,929.0,10.0,0.9913,29.6993,882.0506,4.0,0.4287,308.0,1747.0,912.0,10.0,0.9647,364.1116,132577.2343,21.0,2.2508
K,895.0,0.9546,10.0,830.0,980.0,909.0,10.0,0.97,33.6374,1131.4759,14.0,1.5642,308.0,2471.0,769.0,10.0,0.8135,374.041,139906.7041,126.0,14.0782
Ä,691.0,0.737,10.0,628.0,754.0,691.0,10.0,0.7373,26.5898,707.0188,0.0,0.0,308.0,1235.0,619.0,10.0,0.6548,247.3948,61204.1718,72.0,10.4197
Ü,653.0,0.6965,10.0,588.0,710.0,651.0,10.0,0.6947,23.5391,554.0914,2.0,0.3063,308.0,2471.0,682.0,10.0,0.7214,398.492,158795.8955,29.0,4.441
V,627.0,0.6687,10.0,564.0,674.0,619.0,10.0,0.6605,27.9372,780.4882,8.0,1.2759,308.0,1747.0,647.0,10.0,0.6844,341.5649,116666.6024,20.0,3.1898
P,477.0,0.5088,9.0,408.0,534.0,477.0,9.0,0.509,22.4318,503.1837,0.0,0.0,153.0,1235.0,465.0,9.0,0.4919,208.0914,43302.0363,12.0,2.5157
Ö,290.0,0.3093,9.0,250.0,322.0,286.0,9.0,0.3052,18.7408,351.218,4.0,1.3793,108.0,617.0,290.0,9.0,0.3068,109.0305,11887.6494,0.0,0.0
J,216.0,0.2304,8.0,184.0,242.0,213.0,8.0,0.2273,13.1235,172.2269,3.0,1.3889,108.0,617.0,226.0,8.0,0.2391,105.8944,11213.6327,10.0,4.6296
Y,11.0,0.0117,4.0,4.0,20.0,11.0,4.0,0.0117,3.5968,12.9371,0.0,0.0,3.0,26.0,11.0,4.0,0.0116,4.7606,22.6629,0.0,0.0
Q,6.0,0.0064,3.0,2.0,12.0,6.0,3.0,0.0064,2.1718,4.7167,0.0,0.0,3.0,18.0,6.0,3.0,0.0063,2.6631,7.0922,0.0,0.0
