letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
W,1972.0,2.2435,11.0,1894.0,2068.0,1984.0,11.0,2.2585,40.0637,1605.102,12.0,0.6085,617.0,4943.0,1773.0,11.0,2.0197,688.1827,473595.3976,199.0,10.0913
F,1682.0,1.9136,11.0,1560.0,1768.0,1668.0,11.0,1.8988,41.2617,1702.5306,14.0,0.8323,617.0,3495.0,1557.0,11.0,1.7736,644.0026,414739.3453,125.0,7.4316
B,1610.0,1.8317,11.0,1538.0,1690.0,1604.0,11.0,1.826,34.2949,1176.1371,6.0,0.3727,617.0,4943.0,1647.0,11.0,1.8761,799.9737,639957.8776,37.0,2.2981
G,1235.0,1.405,11.0,1162.0,1330.0,1235.0,11.0,1.4059,35.3089,1246.72,0.0,0.0,308.0,2471.0,1159.0,11.0,1.3202,551.8662,304556.3024,76.0,6.1538
P,1185.0,1.3482,11.0,1096.0,1270.0,1183.0,11.0,1.3467,33.7254,1137.4057,2.0,0.1688,436.0,2471.0,1147.0,11.0,1.3066,466.5447,217663.9188,38.0,3.2068
V,836.0,0.9511,10.0,758.0,884.0,828.0,10.0,0.9426,28.8022,829.5657,8.0,0.9569,308.0,2471.0,900.0,10.0,1.0252,503.5506,253563.2118,64.0,7.6555
K,662.0,0.7531,10.0,612.0,718.0,657.0,10.0,0.7479,24.2255,586.8751,5.0,0.7553,217.0,1235.0,698.0,10.0,0.7951,313.7601,98445.4024,36.0,5.4381
Z,105.0,0.1195,7.0,90.0,128.0,107.0,7.0,0.1218,9.0283,81.5102,2.0,1.9048,26.0,308.0,107.0,7.0,0.1219,55.5154,3081.9629,2.0,1.9048
X,79.0,0.0899,7.0,56.0,106.0,78.0,7.0,0.0888,9.4159,88.6596,1.0,1.2658,26.0,217.0,81.0,7.0,0.0923,41.471,1719.8453,2.0,2.5316
J,35.0,0.0398,6.0,26.0,50.0,35.0,6.0,0.0398,5.7576,33.1494,0.0,0.0,18.0,76.0,33.0,6.0,0.0376,12.5233,156.8331,2.0,5.7143
Q,30.0,0.0341,5.0,18.0,40.0,29.0,5.0,0.033,5.0997,26.0065,1.0,3.3333,18.0,108.0,35.0,6.0,0.0399,16.9662,287.8514,5.0,16.6667
Æ,1.0,0.0011,0.0,0.0,2.0,1.0,0.0,0.0011,0.9697,0.9404,0.0,0.0,2.0,2.0,2.0,1.0,0.0023,0.0,0.0,1.0,100.0
