letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
C,5209.0,3.0657,13.0,5064.0,5314.0,5194.0,13.0,3.0568,60.8388,3701.3616,15.0,0.288,1747.0,13983.0,5287.0,13.0,3.1663,2705.2774,7318525.6555,78.0,1.4974
M,4916.0,2.8932,13.0,4752.0,5032.0,4906.0,13.0,2.8873,71.3016,5083.92,10.0,0.2034,1747.0,19776.0,5201.0,13.0,3.1148,3169.6045,10046392.7384,285.0,5.7974
O,4429.0,2.6066,13.0,4234.0,4592.0,4432.0,13.0,2.6084,80.3009,6448.2351,3.0,0.0677,1747.0,13983.0,4737.0,13.0,2.8369,2553.6988,6521377.3061,308.0,6.9542
W,3254.0,1.9151,12.0,3148.0,3396.0,3259.0,12.0,1.918,54.5828,2979.28,5.0,0.1537,1747.0,6991.0,3201.0,12.0,1.917,1325.9823,1758229.0024,53.0,1.6288
B,3086.0,1.8162,12.0,2960.0,3204.0,3090.0,12.0,1.8186,51.8078,2684.0506,4.0,0.1296,1235.0,6991.0,3417.0,12.0,2.0464,1544.2037,2384565.1853,331.0,10.7259
F,2220.0,1.3066,12.0,2120.0,2316.0,2220.0,12.0,1.3065,42.6928,1822.6759,0.0,0.0,873.0,4943.0,2167.0,12.0,1.2978,910.7874,829533.5984,53.0,2.3874
K,1999.0,1.1765,11.0,1920.0,2084.0,2003.0,11.0,1.1788,38.1735,1457.2147,4.0,0.2001,617.0,3495.0,1839.0,11.0,1.1013,736.9779,543136.3673,160.0,8.004
Z,1758.0,1.0346,11.0,1654.0,1856.0,1764.0,11.0,1.0382,44.2936,1961.92,6.0,0.3413,873.0,3495.0,1792.0,11.0,1.0732,754.0466,568586.3265,34.0,1.934
V,1238.0,0.7286,11.0,1172.0,1308.0,1244.0,11.0,0.7321,32.0739,1028.7347,6.0,0.4847,617.0,2471.0,1198.0,11.0,0.7175,487.5514,237706.3657,40.0,3.231
Ü,1049.0,0.6174,11.0,966.0,1122.0,1049.0,11.0,0.6174,33.818,1143.6555,0.0,0.0,436.0,2471.0,1118.0,11.0,0.6695,440.9638,194449.1086,69.0,6.5777
Ä,999.0,0.5879,10.0,930.0,1062.0,1005.0,10.0,0.5915,33.3691,1113.4955,6.0,0.6006,436.0,4943.0,1049.0,11.0,0.6282,680.7677,463444.6351,50.0,5.005
P,876.0,0.5156,10.0,832.0,936.0,883.0,10.0,0.5197,25.9431,673.0465,7.0,0.7991,436.0,1747.0,832.0,10.0,0.4983,330.2691,109077.6963,44.0,5.0228
Ö,822.0,0.4838,10.0,760.0,932.0,832.0,10.0,0.4897,36.163,1307.7616,10.0,1.2165,308.0,1747.0,818.0,10.0,0.4899,337.0298,113589.0698,4.0,0.4866
Y,517.0,0.3043,10.0,448.0,574.0,517.0,10.0,0.3043,23.5469,554.4555,0.0,0.0,217.0,1235.0,529.0,10.0,0.3168,220.5601,48646.7465,12.0,2.3211
J,224.0,0.1318,8.0,190.0,252.0,221.0,8.0,0.1301,17.0378,290.2873,3.0,1.3393,76.0,436.0,206.0,8.0,0.1234,90.5562,8200.431,18.0,8.0357
X,18.0,0.0106,5.0,10.0,26.0,17.0,5.0,0.01,3.7218,13.8514,1.0,5.5556,8.0,37.0,16.0,4.0,0.0096,6.4341,41.398,2.0,11.1111
Q,11.0,0.0065,4.0,4.0,18.0,10.0,4.0,0.0059,3.9225,15.3861,1.0,9.0909,3.0,26.0,11.0,4.0,0.0066,5.1812,26.8445,0.0,0.0
