letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
L,3912.0,3.9432,12.0,3788.0,4052.0,3918.0,12.0,3.9517,57.314,3284.8996,6.0,0.1534,1235.0,13983.0,4224.0,13.0,4.1367,2109.3097,4449187.5527,312.0,7.9755
C,3632.0,3.6609,12.0,3486.0,3774.0,3637.0,12.0,3.6683,71.2146,5071.5249,5.0,0.1377,1235.0,9887.0,3480.0,12.0,3.4081,1750.4524,3064083.5918,152.0,4.185
M,3220.0,3.2456,12.0,3046.0,3314.0,3221.0,12.0,3.2487,54.799,3002.9322,1.0,0.0311,1235.0,6991.0,3199.0,12.0,3.1329,1453.4959,2112650.2139,21.0,0.6522
O,3187.0,3.2124,12.0,3082.0,3328.0,3193.0,12.0,3.2204,62.9916,3967.9363,6.0,0.1883,1235.0,13983.0,3247.0,12.0,3.1799,2049.3046,4199649.28,60.0,1.8826
G,2609.0,2.6298,12.0,2496.0,2678.0,2594.0,12.0,2.6163,43.3147,1876.1616,15.0,0.5749,1235.0,4943.0,2693.0,12.0,2.6373,1121.2952,1257303.0204,84.0,3.2196
W,1978.0,1.9938,11.0,1872.0,2086.0,1973.0,11.0,1.99,45.3159,2053.5331,5.0,0.2528,873.0,4943.0,2348.0,12.0,2.2995,1168.0773,1364404.4882,370.0,18.7058
B,1962.0,1.9776,11.0,1832.0,2034.0,1953.0,11.0,1.9698,41.9094,1756.4016,9.0,0.4587,873.0,6991.0,2391.0,12.0,2.3416,1186.2321,1407146.7118,429.0,21.8654
F,1576.0,1.5885,11.0,1482.0,1646.0,1566.0,11.0,1.5795,38.4991,1482.1812,10.0,0.6345,617.0,3495.0,1567.0,11.0,1.5346,678.2441,460015.022,9.0,0.5711
Z,1125.0,1.134,11.0,1054.0,1190.0,1120.0,11.0,1.1296,35.5311,1262.4588,5.0,0.4444,436.0,2471.0,1107.0,11.0,1.0841,421.2253,177430.7922,18.0,1.6
K,1021.0,1.0291,10.0,944.0,1092.0,1017.0,10.0,1.0257,34.0467,1159.1771,4.0,0.3918,436.0,1747.0,958.0,10.0,0.9382,370.0797,136958.9649,63.0,6.1704
Ä,712.0,0.7177,10.0,666.0,762.0,712.0,10.0,0.7181,22.5825,509.969,0.0,0.0,308.0,1235.0,671.0,10.0,0.6571,254.3603,64699.1514,41.0,5.7584
V,704.0,0.7096,10.0,640.0,762.0,701.0,10.0,0.707,25.2535,637.7404,3.0,0.4261,217.0,1235.0,672.0,10.0,0.6581,235.5147,55467.1531,32.0,4.5455
P,695.0,0.7005,10.0,644.0,736.0,690.0,10.0,0.6959,22.4603,504.4637,5.0,0.7194,308.0,1747.0,743.0,10.0,0.7276,326.2052,106409.8547,48.0,6.9065
Ü,565.0,0.5695,10.0,512.0,614.0,562.0,10.0,0.5668,23.9491,573.5576,3.0,0.531,217.0,1747.0,548.0,10.0,0.5367,285.3877,81446.1535,17.0,3.0088
J,375.0,0.378,9.0,318.0,412.0,367.0,9.0,0.3702,18.2545,333.2261,8.0,2.1333,217.0,617.0,376.0,9.0,0.3682,127.3389,16215.1873,1.0,0.2667
Ö,279.0,0.2812,9.0,234.0,322.0,280.0,9.0,0.2824,17.7463,314.9322,1.0,0.3584,108.0,617.0,272.0,9.0,0.2664,106.21,11280.5649,7.0,2.509
Y,72.0,0.0726,7.0,54.0,90.0,70.0,7.0,0.0706,8.6591,74.9796,2.0,2.7778,37.0,153.0,68.0,7.0,0.0666,26.5018,702.3445,4.0,5.5556
Q,12.0,0.0121,4.0,8.0,20.0,12.0,4.0,0.0121,3.2529,10.5812,0.0,0.0,5.0,26.0,12.0,4.0,0.0118,4.958,24.5816,0.0,0.0
X,3.0,0.003,2.0,0.0,6.0,3.0,2.0,0.003,1.8587,3.4547,0.0,0.0,2.0,5.0,3.0,2.0,0.0029,1.0887,1.1853,0.0,0.0
