letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
D,3966.0,3.7493,12.0,3848.0,4130.0,3975.0,12.0,3.7552,61.6204,3797.0759,9.0,0.2269,1747.0,6991.0,4077.0,12.0,3.9572,1534.6021,2355003.7159,111.0,2.7988
U,3607.0,3.4099,12.0,3508.0,3780.0,3604.0,12.0,3.4047,60.0177,3602.1224,3.0,0.0832,1747.0,9887.0,3922.0,12.0,3.8068,1620.419,2625757.6229,315.0,8.733
M,3481.0,3.2908,12.0,3368.0,3606.0,3487.0,12.0,3.2942,58.7891,3456.1633,6.0,0.1724,1235.0,9887.0,3541.0,12.0,3.437,1668.7986,2784888.8751,60.0,1.7236
Y,2642.0,2.4976,12.0,2482.0,2740.0,2635.0,12.0,2.4893,52.1264,2717.1608,7.0,0.265,873.0,4943.0,2848.0,12.0,2.7643,1070.1278,1145173.5004,206.0,7.7971
W,2592.0,2.4503,12.0,2500.0,2706.0,2601.0,12.0,2.4572,53.2415,2834.6531,9.0,0.3472,1235.0,4943.0,2504.0,12.0,2.4304,1096.1984,1201650.8669,88.0,3.3951
C,2224.0,2.1025,12.0,2110.0,2310.0,2221.0,12.0,2.0982,46.8578,2195.6506,3.0,0.1349,873.0,4943.0,2371.0,12.0,2.3013,1135.098,1288447.551,147.0,6.6097
F,2101.0,1.9862,12.0,2018.0,2206.0,2100.0,12.0,1.9839,46.7848,2188.8147,1.0,0.0476,617.0,3495.0,1968.0,11.0,1.9102,724.302,524613.3486,133.0,6.3303
G,1862.0,1.7602,11.0,1756.0,1986.0,1867.0,11.0,1.7638,48.7894,2380.4098,5.0,0.2685,873.0,4943.0,1847.0,11.0,1.7927,831.7748,691849.3649,15.0,0.8056
B,1786.0,1.6884,11.0,1718.0,1874.0,1798.0,11.0,1.6986,39.5143,1561.378,12.0,0.6719,873.0,3495.0,1675.0,11.0,1.6258,572.4184,327662.8261,111.0,6.215
P,1571.0,1.4851,11.0,1482.0,1638.0,1574.0,11.0,1.487,38.0329,1446.4996,3.0,0.191,617.0,3495.0,1614.0,11.0,1.5666,667.3708,445383.7535,43.0,2.7371
V,1071.0,1.0125,11.0,1014.0,1128.0,1078.0,11.0,1.0184,27.7727,771.3241,7.0,0.6536,617.0,2471.0,1140.0,11.0,1.1065,445.9862,198903.6882,69.0,6.4426
K,850.0,0.8035,10.0,766.0,902.0,850.0,10.0,0.803,24.7157,610.8669,0.0,0.0,436.0,2471.0,949.0,10.0,0.9211,452.3818,204649.2608,99.0,11.6471
J,284.0,0.2685,9.0,256.0,324.0,284.0,9.0,0.2683,14.0298,196.8343,0.0,0.0,108.0,1235.0,319.0,9.0,0.3096,192.6121,37099.4139,35.0,12.3239
X,135.0,0.1276,8.0,108.0,158.0,133.0,8.0,0.1256,10.0302,100.6057,2.0,1.4815,53.0,308.0,131.0,8.0,0.1272,65.5019,4290.5016,4.0,2.963
Q,65.0,0.0614,7.0,48.0,78.0,66.0,7.0,0.0624,7.1823,51.5853,1.0,1.5385,37.0,153.0,69.0,7.0,0.067,30.0713,904.2841,4.0,6.1538
Z,33.0,0.0312,6.0,20.0,42.0,32.0,5.0,0.0302,4.1726,17.4106,1.0,3.0303,12.0,108.0,36.0,6.0,0.0349,19.1635,367.2392,3.0,9.0909
