letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
D,6481.0,3.6052,13.0,6198.0,6644.0,6477.0,13.0,3.6044,81.7031,6675.4024,4.0,0.0617,2471.0,19776.0,6803.0,13.0,3.7674,3480.0661,12110859.9384,322.0,4.9684
C,5874.0,3.2676,13.0,5638.0,6010.0,5862.0,13.0,3.2622,74.7674,5590.1649,12.0,0.2043,1747.0,13983.0,5553.0,13.0,3.0752,2344.2211,5495372.3363,321.0,5.4648
M,5786.0,3.2186,13.0,5636.0,5940.0,5778.0,13.0,3.2154,74.9278,5614.1731,8.0,0.1383,2471.0,19776.0,5992.0,13.0,3.3183,3180.1281,10113214.8249,206.0,3.5603
P,4489.0,2.4971,13.0,4352.0,4622.0,4493.0,13.0,2.5003,58.2802,3396.5861,4.0,0.0891,1747.0,9887.0,4469.0,13.0,2.4749,1746.6042,3050626.2465,20.0,0.4455
V,3353.0,1.8652,12.0,3222.0,3456.0,3354.0,12.0,1.8665,54.7147,2993.6996,1.0,0.0298,1235.0,6991.0,3168.0,12.0,1.7544,1501.5649,2254697.0188,185.0,5.5174
É,2915.0,1.6215,12.0,2788.0,3018.0,2910.0,12.0,1.6194,52.0214,2706.222,5.0,0.1715,1235.0,9887.0,2820.0,12.0,1.5617,1522.7857,2318876.2384,95.0,3.259
Q,2146.0,1.1938,12.0,2044.0,2242.0,2135.0,12.0,1.1881,42.7713,1829.3812,11.0,0.5126,617.0,4943.0,2271.0,12.0,1.2576,840.6102,706625.5086,125.0,5.8248
H,2057.0,1.1443,12.0,1936.0,2136.0,2050.0,12.0,1.1408,39.6187,1569.6392,7.0,0.3403,873.0,4943.0,2083.0,12.0,1.1535,956.6436,915166.9371,26.0,1.264
G,2018.0,1.1226,11.0,1880.0,2146.0,2019.0,11.0,1.1236,52.1871,2723.4955,1.0,0.0496,617.0,4943.0,2106.0,12.0,1.1663,931.5272,867742.9241,88.0,4.3608
F,1802.0,1.0024,11.0,1702.0,1912.0,1801.0,11.0,1.0022,48.5493,2357.0302,1.0,0.0555,873.0,4943.0,2003.0,11.0,1.1092,837.7486,701822.6939,201.0,11.1543
B,1771.0,0.9852,11.0,1698.0,1822.0,1768.0,11.0,0.9839,36.0969,1302.9894,3.0,0.1694,617.0,4943.0,1771.0,11.0,0.9808,908.6022,825557.9576,0.0,0.0
J,1349.0,0.7504,11.0,1246.0,1430.0,1349.0,11.0,0.7507,41.4215,1715.7371,0.0,0.0,617.0,2471.0,1253.0,11.0,0.6939,499.1498,249150.4996,96.0,7.1164
À,839.0,0.4667,10.0,764.0,930.0,843.0,10.0,0.4691,31.4828,991.1657,4.0,0.4768,308.0,1747.0,801.0,10.0,0.4436,370.9412,137597.4057,38.0,4.5292
Y,751.0,0.4178,10.0,686.0,810.0,750.0,10.0,0.4174,26.9795,727.8955,1.0,0.1332,308.0,1747.0,755.0,10.0,0.4181,358.7096,128672.5718,4.0,0.5326
X,678.0,0.3772,10.0,616.0,716.0,676.0,10.0,0.3762,23.1065,533.9118,2.0,0.295,308.0,1747.0,711.0,10.0,0.3937,351.662,123666.1735,33.0,4.8673
È,550.0,0.306,10.0,506.0,598.0,548.0,10.0,0.305,22.602,510.8506,2.0,0.3636,153.0,1235.0,615.0,10.0,0.3406,233.3787,54465.6261,65.0,11.8182
Z,494.0,0.2748,9.0,436.0,544.0,489.0,9.0,0.2721,21.9842,483.3061,5.0,1.0121,153.0,1235.0,448.0,9.0,0.2481,222.1095,49332.6453,46.0,9.3117
Ê,375.0,0.2086,9.0,322.0,428.0,376.0,9.0,0.2092,21.3736,456.831,1.0,0.2667,108.0,1235.0,337.0,9.0,0.1866,207.9204,43230.898,38.0,10.1333
K,305.0,0.1697,9.0,254.0,342.0,301.0,9.0,0.1675,21.677,469.8922,4.0,1.3115,108.0,873.0,303.0,9.0,0.1678,154.2088,23780.369,2.0,0.6557
Â,216.0,0.1202,8.0,188.0,248.0,214.0,8.0,0.1191,15.3913,236.8914,2.0,0.9259,76.0,436.0,210.0,8.0,0.1163,86.9288,7556.6127,6.0,2.7778
Î,104.0,0.0579,7.0,80.0,126.0,104.0,7.0,0.0579,11.2221,125.9363,0.0,0.0,37.0,217.0,115.0,7.0,0.0637,38.6113,1490.8363,11.0,10.5769
Ô,97.0,0.054,7.0,80.0,116.0,98.0,7.0,0.0545,7.9308,62.898,1.0,1.0309,37.0,217.0,98.0,7.0,0.0543,40.0917,1607.3469,1.0,1.0309
Ù,74.0,0.0412,7.0,58.0,96.0,73.0,7.0,0.0406,7.9489,63.1853,1.0,1.3514,37.0,153.0,80.0,7.0,0.0443,35.2545,1242.88,6.0,8.1081
W,63.0,0.035,6.0,48.0,78.0,64.0,6.0,0.0356,7.5377,56.8163,1.0,1.5873,26.0,153.0,63.0,6.0,0.0349,31.8253,1012.8494,0.0,0.0
Û,58.0,0.0323,6.0,42.0,76.0,59.0,6.0,0.0328,7.7844,60.5976,1.0,1.7241,18.0,153.0,57.0,6.0,0.0316,25.5367,652.1208,1.0,1.7241
Ç,43.0,0.0239,6.0,30.0,62.0,42.0,6.0,0.0234,7.4506,55.5118,1.0,2.3256,18.0,76.0,41.0,6.0,0.0227,15.9866,255.571,2.0,4.6512
Ï,6.0,0.0033,3.0,2.0,12.0,6.0,3.0,0.0033,2.3215,5.3894,0.0,0.0,2.0,12.0,6.0,3.0,0.0033,2.5263,6.382,0.0,0.0
Ë,2.0,0.0011,1.0,0.0,4.0,2.0,1.0,0.0011,1.6408,2.6922,0.0,0.0,2.0,3.0,2.0,1.0,0.0011,0.4785,0.229,0.0,0.0
