letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
Q,1724.0,1.2933,11.0,1634.0,1828.0,1725.0,11.0,1.2944,40.0092,1600.7331,1.0,0.058,617.0,4943.0,1589.0,11.0,1.2184,732.7472,536918.48,135.0,7.8306
F,1603.0,1.2025,11.0,1544.0,1676.0,1602.0,11.0,1.2021,34.9697,1222.8833,1.0,0.0624,617.0,6991.0,1712.0,11.0,1.3127,961.3992,924288.4898,109.0,6.7998
B,1545.0,1.159,11.0,1434.0,1612.0,1533.0,11.0,1.1503,37.645,1417.1429,12.0,0.7767,617.0,3495.0,1679.0,11.0,1.2874,594.4342,353352.0,134.0,8.6731
H,1478.0,1.1088,11.0,1404.0,1586.0,1478.0,11.0,1.109,35.545,1263.4465,0.0,0.0,617.0,2471.0,1496.0,11.0,1.1471,526.5828,277289.4955,18.0,1.2179
G,1162.0,0.8717,11.0,1110.0,1228.0,1160.0,11.0,0.8704,26.4635,700.3167,2.0,0.1721,436.0,1747.0,1046.0,11.0,0.802,374.0792,139935.2657,116.0,9.9828
J,738.0,0.5536,10.0,668.0,788.0,735.0,10.0,0.5515,26.8512,720.9861,3.0,0.4065,308.0,2471.0,842.0,10.0,0.6456,433.3414,187784.782,104.0,14.0921
À,646.0,0.4846,10.0,578.0,702.0,647.0,10.0,0.4855,28.2531,798.2384,1.0,0.1548,308.0,2471.0,648.0,10.0,0.4969,395.1982,156181.5955,2.0,0.3096
È,580.0,0.4351,10.0,528.0,634.0,576.0,10.0,0.4322,26.7556,715.8596,4.0,0.6897,217.0,1747.0,535.0,10.0,0.4102,276.3608,76375.3016,45.0,7.7586
X,475.0,0.3563,9.0,442.0,524.0,477.0,9.0,0.3579,19.2778,371.6327,2.0,0.4211,217.0,873.0,437.0,9.0,0.3351,167.2584,27975.3833,38.0,8.0
Y,435.0,0.3263,9.0,378.0,480.0,435.0,9.0,0.3264,18.116,328.1894,0.0,0.0,217.0,873.0,439.0,9.0,0.3366,172.0021,29584.7282,4.0,0.9195
Z,341.0,0.2558,9.0,284.0,392.0,339.0,9.0,0.2544,21.2393,451.1086,2.0,0.5865,108.0,617.0,316.0,9.0,0.2423,130.3065,16979.778,25.0,7.3314
Ê,288.0,0.2161,9.0,254.0,332.0,288.0,9.0,0.2161,17.1183,293.0351,0.0,0.0,108.0,617.0,295.0,9.0,0.2262,133.2178,17746.9812,7.0,2.4306
W,135.0,0.1013,8.0,96.0,164.0,133.0,8.0,0.0998,14.5516,211.7486,2.0,1.4815,37.0,217.0,128.0,7.0,0.0981,48.05,2308.8004,7.0,5.1852
Â,104.0,0.078,7.0,82.0,124.0,103.0,7.0,0.0773,10.6602,113.6392,1.0,0.9615,53.0,217.0,106.0,7.0,0.0813,41.7083,1739.5853,2.0,1.9231
Î,84.0,0.063,7.0,70.0,104.0,85.0,7.0,0.0638,8.1115,65.7959,1.0,1.1905,37.0,217.0,83.0,7.0,0.0636,36.59,1338.8282,1.0,1.1905
Ù,80.0,0.06,7.0,64.0,102.0,79.0,7.0,0.0593,8.2313,67.7551,1.0,1.25,26.0,217.0,86.0,7.0,0.0659,42.9904,1848.178,6.0,7.5
Ô,74.0,0.0555,7.0,52.0,86.0,72.0,7.0,0.054,7.5572,57.1118,2.0,2.7027,26.0,153.0,71.0,7.0,0.0544,31.5126,993.0465,3.0,4.0541
Û,60.0,0.045,6.0,40.0,74.0,60.0,6.0,0.045,7.201,51.8547,0.0,0.0,26.0,153.0,62.0,6.0,0.0475,31.9318,1019.6429,2.0,3.3333
K,53.0,0.0398,6.0,40.0,68.0,53.0,6.0,0.0398,6.9334,48.0718,0.0,0.0,26.0,153.0,57.0,6.0,0.0437,24.6228,606.2841,4.0,7.5472
Ç,43.0,0.0323,6.0,28.0,56.0,43.0,6.0,0.0323,6.2225,38.72,0.0,0.0,18.0,108.0,42.0,6.0,0.0322,17.7622,315.4943,1.0,2.3256
Ë,5.0,0.0038,3.0,0.0,8.0,5.0,3.0,0.0038,2.1289,4.5322,0.0,0.0,3.0,12.0,5.0,3.0,0.0038,2.1595,4.6633,0.0,0.0
Ï,2.0,0.0015,1.0,0.0,4.0,1.0,0.0,0.0008,1.2752,1.6261,1.0,50.0,2.0,3.0,2.0,1.0,0.0015,0.4712,0.222,0.0,0.0
Æ,1.0,0.0008,0.0,0.0,2.0,0.0,-inf,0.0,1.0029,1.0057,1.0,100.0,2.0,2.0,2.0,1.0,0.0015,0.0,0.0,1.0,100.0
