letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
O,2838.0,2.8968,12.0,2698.0,3002.0,2823.0,12.0,2.8817,55.375,3066.3853,15.0,0.5285,873.0,6991.0,2700.0,12.0,2.7967,1224.4257,1499218.2596,138.0,4.8626
M,2788.0,2.8457,12.0,2696.0,2914.0,2792.0,12.0,2.8501,51.7581,2678.898,4.0,0.1435,1235.0,6991.0,2799.0,12.0,2.8992,1188.1471,1411693.5118,11.0,0.3945
G,2630.0,2.6845,12.0,2514.0,2730.0,2636.0,12.0,2.6908,51.943,2698.0718,6.0,0.2281,873.0,3495.0,2262.0,12.0,2.343,703.6487,495121.5037,368.0,13.9924
B,1894.0,1.9332,11.0,1782.0,2002.0,1897.0,11.0,1.9365,44.0865,1943.6229,3.0,0.1584,873.0,3495.0,1727.0,11.0,1.7888,687.612,472810.3249,167.0,8.8173
W,1779.0,1.8158,11.0,1682.0,1876.0,1779.0,11.0,1.816,42.3751,1795.6506,0.0,0.0,617.0,4943.0,1825.0,11.0,1.8903,923.6598,853147.422,46.0,2.5857
F,1428.0,1.4576,11.0,1344.0,1526.0,1427.0,11.0,1.4567,42.9759,1846.9241,1.0,0.07,308.0,4943.0,1325.0,11.0,1.3724,699.6885,489563.9514,103.0,7.2129
Z,978.0,0.9983,10.0,932.0,1054.0,984.0,10.0,1.0045,31.4238,987.4547,6.0,0.6135,308.0,2471.0,1015.0,10.0,1.0513,471.7305,222529.6555,37.0,3.7832
K,956.0,0.9758,10.0,908.0,998.0,955.0,10.0,0.9749,25.0681,628.4098,1.0,0.1046,308.0,2471.0,1011.0,10.0,1.0472,528.8196,279650.1914,55.0,5.7531
P,785.0,0.8013,10.0,736.0,830.0,782.0,10.0,0.7983,22.9543,526.898,3.0,0.3822,436.0,3495.0,932.0,10.0,0.9654,560.8193,314518.2976,147.0,18.7261
V,710.0,0.7247,10.0,638.0,774.0,706.0,10.0,0.7207,31.7445,1007.7143,4.0,0.5634,308.0,1747.0,670.0,10.0,0.694,268.3285,72000.2041,40.0,5.6338
Ü,608.0,0.6206,10.0,528.0,658.0,609.0,10.0,0.6217,26.1034,681.3861,1.0,0.1645,308.0,1747.0,662.0,10.0,0.6857,251.4428,63223.478,54.0,8.8816
Ä,434.0,0.443,9.0,390.0,494.0,439.0,9.0,0.4481,22.2013,492.898,5.0,1.1521,153.0,873.0,403.0,9.0,0.4174,166.7621,27809.5955,31.0,7.1429
Ö,371.0,0.3787,9.0,330.0,418.0,373.0,9.0,0.3808,18.5312,343.4057,2.0,0.5391,108.0,1235.0,381.0,9.0,0.3946,190.1904,36172.3776,10.0,2.6954
Y,341.0,0.3481,9.0,288.0,386.0,339.0,9.0,0.3461,19.7509,390.0996,2.0,0.5865,153.0,873.0,343.0,9.0,0.3553,149.9365,22480.9424,2.0,0.5865
J,116.0,0.1184,7.0,90.0,144.0,117.0,7.0,0.1194,10.7381,115.3061,1.0,0.8621,37.0,308.0,120.0,7.0,0.1243,52.1232,2716.8261,4.0,3.4483
X,15.0,0.0153,4.0,4.0,22.0,14.0,4.0,0.0143,4.5573,20.769,1.0,6.6667,5.0,37.0,15.0,4.0,0.0155,6.9718,48.6057,0.0,0.0
Q,12.0,0.0122,4.0,4.0,20.0,12.0,4.0,0.0122,3.3457,11.1935,0.0,0.0,5.0,26.0,11.0,4.0,0.0114,4.7085,22.1698,1.0,8.3333
