letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
C,4642.0,3.576,13.0,4486.0,4812.0,4651.0,13.0,3.5827,61.1992,3745.3469,9.0,0.1939,1747.0,13983.0,4763.0,13.0,3.707,2414.1569,5828153.6588,121.0,2.6066
D,3977.0,3.0637,12.0,3830.0,4116.0,3976.0,12.0,3.0628,65.4344,4281.6669,1.0,0.0251,1235.0,9887.0,3920.0,12.0,3.0509,1832.1804,3356884.898,57.0,1.4332
M,3924.0,3.0229,12.0,3800.0,4072.0,3940.0,12.0,3.035,61.3568,3764.6629,16.0,0.4077,1747.0,13983.0,4327.0,13.0,3.3677,2294.3073,5263846.0408,403.0,10.2701
P,3336.0,2.5699,12.0,3200.0,3422.0,3333.0,12.0,2.5675,50.7241,2572.9388,3.0,0.0899,1235.0,6991.0,3417.0,12.0,2.6594,1279.171,1636278.4914,81.0,2.4281
V,2429.0,1.8712,12.0,2328.0,2560.0,2434.0,12.0,1.8749,49.9077,2490.782,5.0,0.2058,1235.0,6991.0,2537.0,12.0,1.9745,1381.1326,1907527.3469,108.0,4.4463
É,2304.0,1.7749,12.0,2226.0,2448.0,2311.0,12.0,1.7802,50.9954,2600.529,7.0,0.3038,617.0,6991.0,2433.0,12.0,1.8936,1271.5085,1616733.8776,129.0,5.599
Q,1628.0,1.2542,11.0,1552.0,1700.0,1624.0,11.0,1.251,37.537,1409.0269,4.0,0.2457,617.0,3495.0,1551.0,11.0,1.2071,633.2184,400965.5576,77.0,4.7297
B,1401.0,1.0793,11.0,1344.0,1492.0,1409.0,11.0,1.0854,34.6455,1200.3086,8.0,0.571,436.0,3495.0,1376.0,11.0,1.0709,660.4312,436169.3882,25.0,1.7844
F,1160.0,0.8936,11.0,1070.0,1218.0,1164.0,11.0,0.8966,36.5201,1333.7208,4.0,0.3448,436.0,2471.0,1253.0,11.0,0.9752,503.6935,253707.1351,93.0,8.0172
H,1020.0,0.7858,10.0,934.0,1084.0,1016.0,10.0,0.7826,32.9084,1082.9649,4.0,0.3922,436.0,2471.0,1020.0,10.0,0.7939,452.9054,205123.2653,0.0,0.0
G,951.0,0.7326,10.0,890.0,1024.0,955.0,10.0,0.7357,28.4799,811.102,4.0,0.4206,308.0,3495.0,903.0,10.0,0.7028,557.5557,310868.3739,48.0,5.0473
J,946.0,0.7288,10.0,898.0,1026.0,948.0,10.0,0.7303,27.2667,743.471,2.0,0.2114,436.0,1747.0,923.0,10.0,0.7184,376.5448,141786.0147,23.0,2.4313
À,648.0,0.4992,10.0,584.0,702.0,652.0,10.0,0.5022,27.5887,761.1363,4.0,0.6173,308.0,1747.0,724.0,10.0,0.5635,337.2256,113721.1118,76.0,11.7284
Z,512.0,0.3944,9.0,466.0,574.0,517.0,10.0,0.3983,22.5479,508.4082,5.0,0.9766,308.0,873.0,501.0,9.0,0.3899,176.315,31086.9943,11.0,2.1484
X,427.0,0.3289,9.0,382.0,468.0,425.0,9.0,0.3274,19.8856,395.4351,2.0,0.4684,217.0,873.0,425.0,9.0,0.3308,186.0746,34623.7551,2.0,0.4684
È,376.0,0.2897,9.0,330.0,418.0,373.0,9.0,0.2873,22.1838,492.1208,3.0,0.7979,108.0,873.0,384.0,9.0,0.2989,186.5218,34790.3673,8.0,2.1277
Y,362.0,0.2789,9.0,324.0,408.0,362.0,9.0,0.2789,21.5274,463.4269,0.0,0.0,153.0,873.0,342.0,9.0,0.2662,149.1774,22253.8873,20.0,5.5249
Ê,276.0,0.2126,9.0,242.0,314.0,272.0,9.0,0.2095,16.4838,271.7143,4.0,1.4493,108.0,617.0,254.0,8.0,0.1977,106.5502,11352.9404,22.0,7.971
Â,98.0,0.0755,7.0,80.0,120.0,98.0,7.0,0.0755,10.8484,117.6882,0.0,0.0,37.0,217.0,103.0,7.0,0.0802,43.9414,1930.8506,5.0,5.102
Î,85.0,0.0655,7.0,66.0,104.0,85.0,7.0,0.0655,7.8355,61.3943,0.0,0.0,37.0,217.0,90.0,7.0,0.07,41.952,1759.9739,5.0,5.8824
Ù,54.0,0.0416,6.0,36.0,66.0,54.0,6.0,0.0416,6.8692,47.1853,0.0,0.0,18.0,153.0,52.0,6.0,0.0405,26.8386,720.3106,2.0,3.7037
Ç,54.0,0.0416,6.0,34.0,72.0,52.0,6.0,0.0401,7.2584,52.6841,2.0,3.7037,26.0,108.0,53.0,6.0,0.0412,21.0817,444.4363,1.0,1.8519
