letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
G,1831.0,2.3155,11.0,1750.0,1916.0,1830.0,11.0,2.3154,46.1537,2130.1633,1.0,0.0546,617.0,6991.0,1956.0,11.0,2.5237,1194.9937,1428009.8367,125.0,6.8269
B,1551.0,1.9614,11.0,1486.0,1644.0,1559.0,11.0,1.9725,37.5709,1411.5739,8.0,0.5158,436.0,3495.0,1615.0,11.0,2.0837,657.9027,432835.971,64.0,4.1264
W,1503.0,1.9007,11.0,1420.0,1592.0,1497.0,11.0,1.8941,39.3966,1552.0914,6.0,0.3992,617.0,2471.0,1557.0,11.0,2.0089,523.8611,274430.4473,54.0,3.5928
F,1164.0,1.472,11.0,1086.0,1262.0,1161.0,11.0,1.469,34.4089,1183.969,3.0,0.2577,436.0,3495.0,1172.0,11.0,1.5122,606.9135,368343.9955,8.0,0.6873
Z,950.0,1.2014,10.0,888.0,1024.0,956.0,10.0,1.2096,33.8902,1148.5453,6.0,0.6316,308.0,2471.0,976.0,10.0,1.2593,468.1679,219181.2086,26.0,2.7368
K,881.0,1.1141,10.0,798.0,948.0,889.0,10.0,1.1248,30.283,917.0629,8.0,0.9081,436.0,2471.0,907.0,10.0,1.1702,474.4163,225070.8571,26.0,2.9512
P,594.0,0.7512,10.0,542.0,630.0,589.0,10.0,0.7452,21.4847,461.5918,5.0,0.8418,153.0,1235.0,569.0,10.0,0.7341,267.5164,71565.0106,25.0,4.2088
V,499.0,0.631,9.0,460.0,550.0,498.0,9.0,0.6301,19.8331,393.3535,1.0,0.2004,217.0,1235.0,487.0,9.0,0.6283,242.4195,58767.2065,12.0,2.4048
Ü,457.0,0.5779,9.0,422.0,516.0,459.0,9.0,0.5807,20.8632,435.2718,2.0,0.4376,153.0,1235.0,438.0,9.0,0.5651,192.4938,37053.8629,19.0,4.1575
Ä,374.0,0.473,9.0,334.0,410.0,375.0,9.0,0.4745,20.7305,429.7551,1.0,0.2674,217.0,873.0,363.0,9.0,0.4684,139.0142,19324.9473,11.0,2.9412
Ö,296.0,0.3743,9.0,260.0,328.0,299.0,9.0,0.3783,14.1539,200.3331,3.0,1.0135,108.0,873.0,303.0,9.0,0.3909,143.6572,20637.398,7.0,2.3649
Y,198.0,0.2504,8.0,166.0,216.0,196.0,8.0,0.248,11.3868,129.6588,2.0,1.0101,76.0,617.0,218.0,8.0,0.2813,114.0776,13013.7045,20.0,10.101
J,170.0,0.215,8.0,134.0,196.0,166.0,8.0,0.21,14.5015,210.2922,4.0,2.3529,53.0,308.0,165.0,8.0,0.2129,75.6951,5729.7506,5.0,2.9412
Q,65.0,0.0822,7.0,48.0,90.0,64.0,6.0,0.081,8.6752,75.2588,1.0,1.5385,18.0,217.0,63.0,6.0,0.0813,32.7236,1070.8343,2.0,3.0769
X,4.0,0.0051,2.0,0.0,8.0,3.0,2.0,0.0038,2.3085,5.329,1.0,25.0,2.0,8.0,4.0,2.0,0.0052,1.4115,1.9922,0.0,0.0
