letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
D,6481.0,3.6052,13.0,3099,3322,3238.0,12.0,3.6041,6476.0,40.8516,1668.8506,5.0,0.0771,20,26,22.0,5.0,3.3639,4943.0,1.3553,1.8367,1538.0,23.7309
C,5874.0,3.2676,13.0,2819,3005,2931.0,12.0,3.2624,5862.0,37.3837,1397.5412,12.0,0.2043,19,25,22.0,5.0,3.3639,4943.0,1.1824,1.398,931.0,15.8495
M,5786.0,3.2186,13.0,2818,2970,2889.0,12.0,3.2157,5778.0,37.4639,1403.5433,8.0,0.1383,20,26,22.0,5.0,3.3639,4943.0,1.2586,1.5841,843.0,14.5697
P,4489.0,2.4971,13.0,2176,2311,2246.0,12.0,2.5,4492.0,29.1401,849.1465,3.0,0.0668,19,24,21.0,5.0,3.211,3495.0,1.1993,1.4384,994.0,22.143
V,3353.0,1.8652,12.0,1611,1728,1677.0,11.0,1.8666,3354.0,27.3574,748.4249,1.0,0.0298,18,23,20.0,5.0,3.0581,2471.0,1.248,1.5576,882.0,26.3048
É,2915.0,1.6215,12.0,1394,1509,1455.0,11.0,1.6195,2910.0,26.0107,676.5555,5.0,0.1715,18,24,20.0,5.0,3.0581,2471.0,1.2752,1.6261,444.0,15.2316
Q,2146.0,1.1938,12.0,1022,1121,1067.0,11.0,1.1877,2134.0,21.3856,457.3453,12.0,0.5592,16,22,19.0,5.0,2.9052,1747.0,1.1095,1.231,399.0,18.5927
H,2057.0,1.1443,12.0,968,1068,1025.0,11.0,1.1409,2050.0,19.8093,392.4098,7.0,0.3403,17,22,19.0,5.0,2.9052,1747.0,1.2382,1.5331,310.0,15.0705
G,2018.0,1.1226,11.0,940,1073,1009.0,10.0,1.1231,2018.0,26.0936,680.8739,0.0,0.0,16,22,19.0,5.0,2.9052,1747.0,1.2461,1.5527,271.0,13.4291
F,1802.0,1.0024,11.0,851,956,900.0,10.0,1.0018,1800.0,24.2746,589.2576,2.0,0.111,17,22,19.0,5.0,2.9052,1747.0,1.1008,1.2118,55.0,3.0522
B,1771.0,0.9852,11.0,849,911,884.0,10.0,0.984,1768.0,18.0485,325.7473,3.0,0.1694,16,22,18.0,5.0,2.7523,1235.0,1.3407,1.7976,536.0,30.2654
J,1349.0,0.7504,11.0,623,715,674.0,10.0,0.7502,1348.0,20.7107,428.9343,1.0,0.0741,16,20,17.0,5.0,2.5994,873.0,1.0759,1.1576,476.0,35.2854
À,839.0,0.4667,10.0,382,465,421.0,9.0,0.4686,842.0,15.7414,247.7914,3.0,0.3576,14,19,16.0,4.0,2.4465,617.0,1.328,1.7637,222.0,26.4601
Y,751.0,0.4178,10.0,343,405,375.0,9.0,0.4174,750.0,13.4898,181.9739,1.0,0.1332,14,19,16.0,4.0,2.4465,617.0,1.2817,1.6429,134.0,17.8429
X,678.0,0.3772,10.0,308,358,338.0,9.0,0.3762,676.0,11.5533,133.478,2.0,0.295,14,19,16.0,4.0,2.4465,617.0,1.272,1.618,61.0,8.9971
È,550.0,0.306,10.0,253,299,274.0,9.0,0.305,548.0,11.301,127.7127,2.0,0.3636,12,18,15.0,4.0,2.2936,436.0,1.1657,1.3588,114.0,20.7273
Z,494.0,0.2748,9.0,218,272,244.0,8.0,0.2716,488.0,10.9921,120.8265,6.0,1.2146,12,18,14.0,4.0,2.1407,308.0,1.3138,1.7261,186.0,37.6518
Ê,375.0,0.2086,9.0,161,214,188.0,8.0,0.2093,376.0,10.6868,114.2078,1.0,0.2667,11,18,13.0,4.0,1.9878,217.0,1.4234,2.0261,158.0,42.1333
K,305.0,0.1697,9.0,127,171,150.0,8.0,0.167,300.0,10.8385,117.4731,5.0,1.6393,11,17,13.0,4.0,1.9878,217.0,1.3667,1.8678,88.0,28.8525
Â,216.0,0.1202,8.0,94,124,107.0,7.0,0.1191,214.0,7.6956,59.2229,2.0,0.9259,10,15,12.0,4.0,1.8349,153.0,1.1856,1.4057,63.0,29.1667
Î,104.0,0.0579,7.0,40,63,52.0,6.0,0.0579,104.0,5.6111,31.4841,0.0,0.0,8,13,11.0,4.0,1.682,108.0,0.9998,0.9996,4.0,3.8462
Ô,97.0,0.054,7.0,40,58,49.0,6.0,0.0545,98.0,3.9654,15.7245,1.0,1.0309,8,13,10.0,4.0,1.5291,76.0,1.111,1.2343,21.0,21.6495
Ù,74.0,0.0412,7.0,29,48,36.0,6.0,0.0401,72.0,3.9745,15.7963,2.0,2.7027,8,12,9.0,4.0,1.3761,53.0,1.2428,1.5445,21.0,28.3784
W,63.0,0.035,6.0,24,39,32.0,5.0,0.0356,64.0,3.7688,14.2041,1.0,1.5873,7,12,9.0,4.0,1.3761,53.0,1.3354,1.7833,10.0,15.873
Û,58.0,0.0323,6.0,21,38,29.0,5.0,0.0323,58.0,3.8922,15.1494,0.0,0.0,6,12,9.0,4.0,1.3761,53.0,1.1337,1.2853,5.0,8.6207
Ç,43.0,0.0239,6.0,15,31,21.0,5.0,0.0234,42.0,3.7253,13.878,1.0,2.3256,6,10,8.0,3.0,1.2232,37.0,1.085,1.1771,6.0,13.9535
Ï,6.0,0.0033,3.0,1,6,3.0,2.0,0.0033,6.0,1.1608,1.3473,0.0,0.0,1,5,3.0,2.0,0.4587,5.0,0.8381,0.7024,1.0,16.6667
Ë,2.0,0.0011,1.0,0,2,1.0,0.0,0.0011,2.0,0.8204,0.6731,0.0,0.0,1,2,1.0,0.0,0.1529,2.0,0.4785,0.229,0.0,0.0
