letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
G,4063.0,3.3141,12.0,3926.0,4194.0,4066.0,12.0,3.3162,68.3532,4672.1567,3.0,0.0738,1747.0,9887.0,4274.0,13.0,3.566,2313.9904,5354551.5167,211.0,5.1932
C,3779.0,3.0824,12.0,3612.0,3896.0,3766.0,12.0,3.0715,57.8122,3342.2449,13.0,0.344,1235.0,6991.0,3726.0,12.0,3.1088,1501.371,2254114.8473,53.0,1.4025
M,3676.0,2.9984,12.0,3524.0,3890.0,3683.0,12.0,3.0038,63.6563,4052.1224,7.0,0.1904,1747.0,6991.0,3701.0,12.0,3.0879,1019.0575,1038478.1127,25.0,0.6801
O,3459.0,2.8214,12.0,3348.0,3596.0,3460.0,12.0,2.8219,55.4821,3078.2629,1.0,0.0289,1235.0,6991.0,3104.0,12.0,2.5898,1276.8832,1630430.831,355.0,10.2631
B,2705.0,2.2064,12.0,2620.0,2848.0,2713.0,12.0,2.2127,44.7392,2001.5935,8.0,0.2957,1235.0,6991.0,2806.0,12.0,2.3412,1185.0638,1404376.1698,101.0,3.7338
W,2220.0,1.8108,12.0,2110.0,2306.0,2221.0,12.0,1.8114,49.3766,2438.0473,1.0,0.045,617.0,4943.0,2225.0,12.0,1.8564,893.0187,797482.449,5.0,0.2252
K,1620.0,1.3214,11.0,1538.0,1708.0,1633.0,11.0,1.3318,44.8413,2010.7445,13.0,0.8025,617.0,3495.0,1585.0,11.0,1.3225,614.4338,377528.8882,35.0,2.1605
F,1610.0,1.3132,11.0,1566.0,1708.0,1616.0,11.0,1.318,34.8732,1216.1371,6.0,0.3727,617.0,3495.0,1726.0,11.0,1.4401,755.4657,570728.4914,116.0,7.205
Z,1442.0,1.1762,11.0,1342.0,1546.0,1444.0,11.0,1.1777,37.3434,1394.529,2.0,0.1387,436.0,3495.0,1368.0,11.0,1.1414,577.7645,333811.7653,74.0,5.1318
V,1080.0,0.8809,11.0,1004.0,1146.0,1072.0,11.0,0.8743,32.3245,1044.8718,8.0,0.7407,436.0,2471.0,1085.0,11.0,0.9053,544.2589,296217.7392,5.0,0.463
Ü,788.0,0.6427,10.0,720.0,854.0,788.0,10.0,0.6427,28.7903,828.88,0.0,0.0,308.0,1747.0,803.0,10.0,0.67,334.2969,111754.3955,15.0,1.9036
Ö,641.0,0.5228,10.0,586.0,702.0,641.0,10.0,0.5228,26.2454,688.8229,0.0,0.0,217.0,1235.0,653.0,10.0,0.5448,278.9955,77838.5045,12.0,1.8721
Ä,641.0,0.5228,10.0,588.0,696.0,639.0,10.0,0.5212,27.294,744.9616,2.0,0.312,308.0,1235.0,639.0,10.0,0.5332,258.2529,66694.5751,2.0,0.312
Y,568.0,0.4633,10.0,500.0,610.0,564.0,10.0,0.46,24.4151,596.0963,4.0,0.7042,153.0,1235.0,572.0,10.0,0.4773,269.3755,72563.1412,4.0,0.7042
P,517.0,0.4217,10.0,476.0,564.0,515.0,10.0,0.42,19.5069,380.5208,2.0,0.3868,217.0,873.0,490.0,9.0,0.4088,193.3153,37370.8167,27.0,5.2224
J,195.0,0.1591,8.0,162.0,228.0,194.0,8.0,0.1582,14.1553,200.3739,1.0,0.5128,76.0,308.0,181.0,8.0,0.151,60.8781,3706.1392,14.0,7.1795
X,25.0,0.0204,5.0,16.0,32.0,25.0,5.0,0.0204,4.1089,16.8833,0.0,0.0,12.0,76.0,27.0,5.0,0.0225,10.6085,112.5408,2.0,8.0
Q,5.0,0.0041,3.0,0.0,8.0,5.0,3.0,0.0041,1.9898,3.9592,0.0,0.0,2.0,12.0,5.0,3.0,0.0042,2.5173,6.3367,0.0,0.0
