letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
V,17,20,17,19,19,18,17,20,19,19,18,19,18,21,18,21,19,21,20,20,19,18,20,20,18,20,19,20,20,18,18,20,17,20,19,20,19,17,21,18,18,19,21,20,19,20,18,22,19,19,17,22,19.0,3.8306,1.2229,1.4955,1747.0
H,18,21,18,18,18,19,19,18,19,17,19,20,19,18,19,19,19,18,18,19,18,18,18,20,18,19,19,19,20,18,20,18,18,19,19,20,18,20,16,20,18,18,18,21,18,19,18,20,20,16,16,21,18.0,3.629,1.0583,1.12,1235.0
G,18,18,18,18,18,16,20,18,20,18,19,17,20,18,19,18,19,18,17,18,18,19,19,16,18,18,18,19,17,18,19,16,20,16,17,17,18,18,17,16,18,18,16,19,17,15,18,17,19,16,15,20,17.0,3.4274,1.1843,1.4024,873.0
F,17,19,18,18,19,18,17,17,19,18,19,16,18,18,18,17,17,18,17,18,18,16,19,18,19,19,18,18,17,19,17,19,17,19,17,18,17,17,16,16,19,19,18,17,19,16,18,17,18,17,16,19,17.0,3.4274,0.9596,0.9208,873.0
Q,18,15,19,18,16,17,18,16,19,19,18,18,17,18,17,17,17,18,19,16,18,16,18,20,18,17,17,18,15,17,17,20,17,17,17,16,16,15,19,18,19,19,19,17,18,18,19,16,17,18,15,20,17.0,3.4274,1.2329,1.52,873.0
B,17,18,19,17,19,17,18,19,19,16,16,19,17,16,19,16,18,19,18,16,18,18,18,18,17,19,19,18,17,18,18,17,17,19,19,17,19,21,17,18,18,19,18,17,19,17,18,18,18,19,16,21,17.0,3.4274,1.066,1.1363,873.0
J,17,16,16,16,19,17,17,16,17,17,16,15,16,16,16,16,18,16,17,19,17,16,19,17,17,18,19,18,18,17,18,18,18,17,15,21,16,18,16,16,17,17,19,17,17,16,18,19,17,16,15,21,17.0,3.4274,1.2164,1.4796,873.0
Y,15,17,16,16,14,16,17,16,14,16,17,16,15,16,15,17,17,15,17,16,16,17,16,16,16,17,15,16,15,19,16,17,17,16,16,17,18,17,16,16,17,17,18,15,19,17,17,18,15,17,14,19,16.0,3.2258,1.0806,1.1678,617.0
X,15,13,14,16,16,13,13,15,13,17,14,14,16,14,15,14,15,16,15,14,16,14,14,15,13,13,16,13,14,12,14,14,14,14,15,16,14,16,15,15,15,13,15,16,18,14,12,15,17,14,12,18,14.0,2.8226,1.2961,1.68,308.0
Z,15,16,14,14,16,16,15,12,14,15,14,12,15,13,13,13,15,13,13,16,14,18,13,15,15,13,14,17,15,16,15,16,13,17,15,12,14,13,13,17,14,15,14,14,14,15,14,15,15,15,12,18,14.0,2.8226,1.3738,1.8873,308.0
W,12,13,14,13,14,11,12,11,14,12,14,14,14,12,13,12,13,13,13,14,14,11,13,12,13,14,13,14,13,13,13,14,14,13,15,15,12,14,15,13,13,15,16,11,11,12,14,12,14,13,11,16,13.0,2.621,1.1782,1.3882,217.0
K,12,15,12,14,14,12,11,12,11,12,13,12,11,10,12,14,13,11,14,13,13,13,16,13,12,13,14,13,12,13,11,12,12,11,12,12,11,13,11,13,12,10,13,12,15,12,14,11,12,12,10,16,12.0,2.4194,1.2631,1.5955,153.0
