letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
T,22,24,21,22,24,23,22,23,24,24,22,20,22,24,25,23,22,22,23,27,23,22,22,23,23,25,22,22,23,26,22,22,24,23,22,20,23,24,22,22,24,24,23,23,20,23,25,22,23,23,20,27,22.0,4.4088,1.3797,1.9037,4943.0
D,21,22,23,24,24,21,24,23,23,23,24,23,22,23,23,21,21,22,23,23,24,22,22,25,24,22,21,26,24,22,23,25,21,24,23,25,25,24,22,22,22,25,24,22,23,25,21,23,24,21,21,26,22.0,4.4088,1.3323,1.7751,4943.0
C,24,22,23,21,21,22,22,24,21,22,24,21,25,22,23,23,24,23,23,22,25,22,23,23,22,24,22,22,22,22,23,21,23,23,21,23,22,23,22,24,24,23,23,23,22,22,22,23,22,22,21,25,22.0,4.4088,1.0102,1.0204,4943.0
P,21,20,21,22,22,20,21,20,20,21,21,23,20,20,21,22,22,22,20,23,21,20,24,22,22,19,20,21,22,20,18,20,22,23,20,22,20,23,21,21,21,22,21,22,21,21,23,21,22,21,18,24,21.0,4.2084,1.1669,1.3616,3495.0
Q,20,18,21,19,20,21,19,21,18,20,21,19,21,19,19,19,21,19,19,19,18,20,21,21,19,19,20,20,21,19,20,20,17,21,18,19,20,19,19,19,18,19,20,18,19,20,18,20,18,20,17,21,19.0,3.8076,1.0539,1.1106,1747.0
V,21,19,20,20,21,19,20,20,21,18,18,20,20,19,18,21,16,21,21,20,19,19,18,20,18,19,19,18,20,18,19,19,19,19,19,17,17,20,18,18,19,19,17,19,18,19,19,21,18,18,16,21,19.0,3.8076,1.2022,1.4453,1747.0
H,20,23,21,19,20,23,20,21,18,19,19,20,20,22,21,20,19,18,21,21,20,20,21,19,18,20,20,21,20,19,18,22,19,19,19,20,18,18,21,20,22,18,18,19,18,21,18,21,19,21,18,23,19.0,3.8076,1.3607,1.8514,1747.0
G,17,19,19,19,19,19,19,20,20,17,19,18,19,19,20,18,20,20,18,19,18,17,19,20,18,20,18,17,18,19,20,18,20,20,19,18,19,19,19,17,19,19,19,18,19,18,18,20,20,17,17,20,18.0,3.6072,0.9596,0.9208,1235.0
Y,21,19,18,18,18,21,20,20,20,19,18,19,20,20,18,18,19,20,19,19,19,17,20,17,19,19,18,21,17,21,19,20,19,19,22,17,19,19,19,18,20,20,19,18,19,18,17,19,20,16,16,22,18.0,3.6072,1.237,1.5302,1235.0
B,18,20,19,19,20,19,20,18,20,18,18,18,19,21,17,19,21,20,19,19,18,19,19,19,18,19,17,21,21,18,20,20,19,19,19,23,19,17,18,18,20,18,20,19,19,17,16,19,19,19,16,23,18.0,3.6072,1.2534,1.571,1235.0
F,16,16,17,18,17,16,16,14,17,18,17,16,18,17,19,17,16,19,17,21,17,18,18,18,19,18,18,19,17,18,18,17,18,16,16,17,18,17,17,17,17,17,16,18,17,18,16,14,18,17,14,21,17.0,3.4068,1.2171,1.4812,873.0
Z,18,17,15,15,14,15,14,16,17,16,14,15,16,14,15,19,17,16,18,16,15,15,15,16,16,14,17,16,15,16,14,16,15,15,18,16,15,15,14,16,16,16,16,14,17,17,17,17,16,16,14,19,15.0,3.006,1.2048,1.4514,436.0
J,16,15,15,16,15,15,15,15,17,15,16,16,14,15,15,16,17,11,14,16,17,17,16,15,16,16,14,15,16,16,16,15,17,16,15,13,15,16,16,16,16,14,15,17,17,17,12,14,16,15,11,17,15.0,3.006,1.2454,1.551,436.0
X,12,13,13,11,13,15,13,14,15,13,13,13,14,14,12,14,12,14,12,14,13,12,12,12,15,15,13,11,15,13,14,13,13,13,11,13,14,12,13,12,13,15,12,14,13,15,16,15,14,13,11,16,13.0,2.6052,1.192,1.4208,217.0
K,3,4,2,2,3,3,3,3,3,2,3,2,3,3,4,3,3,3,3,4,3,3,4,3,3,3,2,2,3,3,3,4,3,2,2,3,4,4,3,3,3,4,4,3,4,4,4,3,3,5,2,5,3.0,0.6012,0.6893,0.4751,5.0
W,3,3,3,2,2,3,3,3,4,2,2,2,2,4,3,2,2,2,4,2,2,2,2,4,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,2,4,3,3,3,2,3,2,4,2.0,0.4008,0.7001,0.4902,3.0
