Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average
X,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217
K,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362,35362
V,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497,37497
P,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249,58249
B,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788,61788
G,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054,68054
F,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333,80333
C,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839,87839
W,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286,89286
Y,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173,94173
